id,hint_id,support_card_id,hint_group,hint_gain_type,hint_value_1,hint_value_2,group_id,condition_set_id,priority
1,9081001,30001,1,0,200162,1,0,0,0
2,9081001,30001,2,0,200232,1,0,0,0
3,9081001,30001,3,0,200512,1,0,0,0
4,9081001,30001,4,0,200612,1,0,0,0
5,9081001,30001,5,0,200732,1,0,0,0
6,9081001,30001,6,0,201352,1,0,0,0
7,9081001,30001,7,0,201542,1,0,0,0
8,9081001,30001,8,1,1,1,0,0,0
9,9081001,30001,8,1,3,1,0,0,0
10,9081001,30001,8,1,4,6,0,0,0
11,9081001,10001,1,0,200162,1,0,0,0
12,9081001,10001,2,0,200232,1,0,0,0
13,9081001,10001,3,0,200512,1,0,0,0
14,9081001,10001,4,0,200612,1,0,0,0
15,9081001,10001,5,0,200732,1,0,0,0
16,9081001,10001,6,0,201352,1,0,0,0
17,9081001,10001,7,0,201542,1,0,0,0
18,9081001,10001,8,1,1,1,0,0,0
19,9081001,10001,8,1,3,1,0,0,0
20,9081001,10001,8,1,4,6,0,0,0
21,9081002,30002,1,0,200432,1,0,0,0
22,9081002,30002,2,0,200532,1,0,0,0
23,9081002,30002,3,0,200542,1,0,0,0
24,9081002,30002,4,0,200552,1,0,0,0
25,9081002,30002,5,0,200712,1,0,0,0
26,9081002,30002,6,0,201242,1,0,0,0
27,9081002,30002,7,0,201252,1,0,0,0
28,9081002,30002,8,0,201522,1,0,0,0
29,9081002,30002,9,0,201272,1,0,0,0
31,9081002,30002,10,1,1,6,0,0,0
32,9081002,30002,10,1,3,2,0,0,0
33,9081002,10002,1,0,200432,1,0,0,0
34,9081002,10002,2,0,200532,1,0,0,0
35,9081002,10002,3,0,200542,1,0,0,0
36,9081002,10002,4,0,200552,1,0,0,0
37,9081002,10002,5,0,200712,1,0,0,0
38,9081002,10002,6,0,201242,1,0,0,0
39,9081002,10002,7,0,201252,1,0,0,0
40,9081002,10002,8,0,201522,1,0,0,0
41,9081002,10002,9,0,201272,1,0,0,0
43,9081002,10002,10,1,1,6,0,0,0
44,9081002,10002,10,1,3,2,0,0,0
45,9081003,30003,1,0,200452,1,0,0,0
46,9081003,30003,2,0,200492,1,0,0,0
47,9081003,30003,3,0,200502,1,0,0,0
48,9081003,30003,4,0,201132,1,0,0,0
49,9081003,30003,5,0,201142,1,0,0,0
50,9081003,30003,6,0,201332,1,0,0,0
51,9081003,30003,7,1,1,6,0,0,0
52,9081003,30003,7,1,3,2,0,0,0
53,9081003,10003,1,0,200452,1,0,0,0
54,9081003,10003,2,0,200492,1,0,0,0
55,9081003,10003,3,0,200502,1,0,0,0
56,9081003,10003,4,0,201132,1,0,0,0
57,9081003,10003,5,0,201142,1,0,0,0
58,9081003,10003,6,0,201332,1,0,0,0
59,9081003,10003,7,1,1,6,0,0,0
60,9081003,10003,7,1,3,2,0,0,0
61,9081004,10004,1,0,200532,1,0,0,0
62,9081004,10004,2,0,200682,1,0,0,0
63,9081004,10004,3,0,201042,1,0,0,0
64,9081004,10004,4,0,201052,1,0,0,0
65,9081004,10004,5,0,201062,1,0,0,0
66,9081004,10004,6,1,1,6,0,0,0
67,9081004,10004,6,1,3,2,0,0,0
68,9081005,20001,1,0,200182,1,0,0,0
69,9081005,20001,2,0,200222,1,0,0,0
70,9081005,20001,3,0,200771,1,0,0,0
71,9081005,20001,4,0,201042,1,0,0,0
72,9081005,20001,5,0,201072,1,0,0,0
73,9081005,20001,6,1,5,6,0,0,0
74,9081005,20001,6,1,30,5,0,0,0
75,9081005,10049,1,0,200182,1,0,0,0
76,9081005,10049,2,0,200222,1,0,0,0
77,9081005,10049,3,0,200771,1,0,0,0
78,9081005,10049,4,0,201042,1,0,0,0
79,9081005,10049,5,0,201072,1,0,0,0
80,9081005,10049,6,1,5,6,0,0,0
81,9081005,10049,6,1,30,5,0,0,0
82,9081006,10005,1,0,200222,1,0,0,0
83,9081006,10005,2,0,200332,1,0,0,0
84,9081006,10005,3,0,200342,1,0,0,0
85,9081006,10005,4,0,200432,1,0,0,0
86,9081006,10005,5,0,200492,1,0,0,0
87,9081006,10005,6,0,200512,1,0,0,0
88,9081006,10005,7,0,200722,1,0,0,0
89,9081006,10005,8,0,201062,1,0,0,0
90,9081006,10005,9,0,201352,1,0,0,0
91,9081006,10005,10,0,201601,1,0,0,0
92,9081006,10005,11,1,2,2,0,0,0
93,9081006,10005,11,1,3,6,0,0,0
94,9081007,30004,1,0,200622,1,0,0,0
95,9081007,30004,2,0,200642,1,0,0,0
96,9081007,30004,3,0,200752,1,0,0,0
97,9081007,30004,4,0,201212,1,0,0,0
98,9081007,30004,5,0,201232,1,0,0,0
99,9081007,30004,6,0,201472,1,0,0,0
100,9081007,30004,7,0,201482,1,0,0,0
101,9081007,30004,8,0,201502,1,0,0,0
102,9081007,30004,9,0,201512,1,0,0,0
103,9081007,30004,10,0,201552,1,0,0,0
104,9081007,30004,11,0,201581,1,0,0,0
105,9081007,30004,12,0,201591,1,0,0,0
106,9081007,30004,13,0,201601,1,0,0,0
107,9081007,30004,14,0,201631,1,0,0,0
108,9081007,30004,15,1,2,6,0,0,0
109,9081007,30004,15,1,4,2,0,0,0
110,9081007,10006,1,0,200622,1,0,0,0
111,9081007,10006,2,0,200642,1,0,0,0
112,9081007,10006,3,0,200752,1,0,0,0
113,9081007,10006,4,0,201212,1,0,0,0
114,9081007,10006,5,0,201232,1,0,0,0
115,9081007,10006,6,0,201472,1,0,0,0
116,9081007,10006,7,0,201482,1,0,0,0
117,9081007,10006,8,0,201502,1,0,0,0
118,9081007,10006,9,0,201512,1,0,0,0
119,9081007,10006,10,0,201552,1,0,0,0
120,9081007,10006,11,0,201581,1,0,0,0
121,9081007,10006,12,0,201591,1,0,0,0
122,9081007,10006,13,0,201601,1,0,0,0
123,9081007,10006,14,0,201631,1,0,0,0
124,9081007,10006,15,1,2,6,0,0,0
125,9081007,10006,15,1,4,2,0,0,0
126,9081008,30005,1,0,200032,1,0,0,0
127,9081008,30005,2,0,200362,1,0,0,0
128,9081008,30005,3,0,200372,1,0,0,0
129,9081008,30005,4,0,200382,1,0,0,0
130,9081008,30005,5,0,200512,1,0,0,0
131,9081008,30005,6,0,200602,1,0,0,0
132,9081008,30005,7,0,200702,1,0,0,0
133,9081008,30005,8,0,201032,1,0,0,0
134,9081008,30005,9,0,201102,1,0,0,0
135,9081008,30005,10,1,2,2,0,0,0
136,9081008,30005,10,1,3,6,0,0,0
137,9081008,10007,1,0,200032,1,0,0,0
138,9081008,10007,2,0,200362,1,0,0,0
139,9081008,10007,3,0,200372,1,0,0,0
140,9081008,10007,4,0,200382,1,0,0,0
141,9081008,10007,5,0,200512,1,0,0,0
142,9081008,10007,6,0,200602,1,0,0,0
143,9081008,10007,7,0,200702,1,0,0,0
144,9081008,10007,8,0,201032,1,0,0,0
145,9081008,10007,9,0,201102,1,0,0,0
146,9081008,10007,10,1,2,2,0,0,0
147,9081008,10007,10,1,3,6,0,0,0
148,9081009,20002,1,0,200282,1,0,0,0
149,9081009,20002,2,0,200572,1,0,0,0
150,9081009,20002,3,0,200582,1,0,0,0
151,9081009,20002,4,0,200712,1,0,0,0
152,9081009,20002,5,0,200722,1,0,0,0
153,9081009,20002,6,0,201052,1,0,0,0
154,9081009,20002,7,1,5,6,0,0,0
155,9081009,20002,7,1,30,5,0,0,0
156,9081009,10023,1,0,200282,1,0,0,0
157,9081009,10023,2,0,200572,1,0,0,0
158,9081009,10023,3,0,200582,1,0,0,0
159,9081009,10023,4,0,200712,1,0,0,0
160,9081009,10023,5,0,200722,1,0,0,0
161,9081009,10023,6,0,201052,1,0,0,0
162,9081009,10023,7,1,5,6,0,0,0
163,9081009,10023,7,1,30,5,0,0,0
164,9081010,10008,1,0,200572,1,0,0,0
165,9081010,10008,2,0,200582,1,0,0,0
166,9081010,10008,3,0,200682,1,0,0,0
167,9081010,10008,4,0,200702,1,0,0,0
168,9081010,10008,5,0,201032,1,0,0,0
169,9081010,10008,6,0,201052,1,0,0,0
