id,command_id,live_id,level,master_bonus_content_text_id,live_bonus_type,live_bonus_value
1,1006,1006,1,40091,1,5
2,1032,1032,1,40000,1,5
3,1040,1040,1,40001,3,5
4,1044,1044,1,40002,3,5
5,1003,1003,1,40003,3,5
6,1012,1012,1,40004,2,15
7,1043,1043,1,40005,2,15
8,1042,1042,1,40006,2,15
9,1038,1038,1,40007,1,5
10,1045,1045,1,40008,1,5
11,1046,1046,1,40009,2,15
12,1047,1047,1,40010,2,15
13,1023,1023,1,40011,1,5
14,1021,1021,1,40012,3,5
15,1011,1011,1,40013,1,5
16,1014,1014,1,40014,3,5
17,1041,1041,1,40015,3,5
18,1039,1039,1,40016,3,5
19,1034,1034,1,40017,1,5
20,1020,1020,1,40018,3,10
21,1024,1024,1,40019,3,10
22,1006,1036,4,40092,3,10
23,1057,1057,1,40020,2,15
24,1006,1029,4,40092,3,10
