id,square_title_text_id,square_content_text_id,master_bonus_id,square_type,perf_type_1,perf_value_1,perf_type_2,perf_value_2,perf_type_3,perf_value_3,perf_type_4,perf_value_4,perf_type_5,perf_value_5
11001,11001,11001,11001,1,1,10,0,0,0,0,0,0,0,0
11002,11002,11002,11002,1,2,10,0,0,0,0,0,0,0,0
11003,11003,11003,11003,1,3,10,0,0,0,0,0,0,0,0
11004,11004,11004,11004,1,4,10,0,0,0,0,0,0,0,0
11005,11005,11005,11005,1,5,10,0,0,0,0,0,0,0,0
11006,11006,11006,11006,1,1,10,0,0,0,0,0,0,0,0
11007,11006,11006,11006,1,2,10,0,0,0,0,0,0,0,0
11008,11006,11006,11006,1,3,10,0,0,0,0,0,0,0,0
11009,11006,11006,11006,1,4,10,0,0,0,0,0,0,0,0
11010,11006,11006,11006,1,5,10,0,0,0,0,0,0,0,0
11101,11101,11101,11101,1,1,16,0,0,0,0,0,0,0,0
11102,11102,11102,11102,1,2,16,0,0,0,0,0,0,0,0
11103,11103,11103,11103,1,3,16,0,0,0,0,0,0,0,0
11104,11104,11104,11104,1,4,16,0,0,0,0,0,0,0,0
11105,11105,11105,11105,1,5,16,0,0,0,0,0,0,0,0
11106,11106,11106,11106,1,3,16,0,0,0,0,0,0,0,0
11107,11106,11106,11106,1,1,16,0,0,0,0,0,0,0,0
11108,11106,11106,11106,1,2,16,0,0,0,0,0,0,0,0
11109,11106,11106,11106,1,4,16,0,0,0,0,0,0,0,0
11110,11106,11106,11106,1,5,16,0,0,0,0,0,0,0,0
11201,11201,11201,11201,1,1,24,0,0,0,0,0,0,0,0
11202,11202,11202,11202,1,2,24,0,0,0,0,0,0,0,0
11203,11203,11203,11203,1,3,24,0,0,0,0,0,0,0,0
11204,11204,11204,11204,1,4,24,0,0,0,0,0,0,0,0
11205,11205,11205,11205,1,5,24,0,0,0,0,0,0,0,0
11206,11206,11206,11206,1,4,24,0,0,0,0,0,0,0,0
11207,11206,11206,11206,1,1,24,0,0,0,0,0,0,0,0
