id,base_program_id,program_group,race_instance_id,race_permission,month,half,reserve_program_id,random_group_id,grade_rate_id,entry_decrease,entry_decrease_flag,recommend_class_id,filly_only_flag,need_fan_count,fan_set_id,reward_set_id
1,0,0,100101,4,2,2,0,0,122,0,0,14,0,12000,30,100101
2,0,0,100201,4,3,2,0,0,121,0,0,14,0,15000,46,100201
3,0,0,100301,4,3,2,0,0,120,0,0,14,0,20000,47,100301
4,0,400,100601,4,4,2,0,0,119,0,0,14,0,20000,34,100601
5,0,0,100801,4,5,1,0,0,118,0,0,13,1,10000,31,100801
6,0,0,200101,4,1,1,0,0,200,6,0,6,0,1800,24,503
7,0,0,200201,4,1,2,0,0,200,6,0,8,0,1800,23,505
8,0,0,200301,4,1,2,0,0,200,6,0,6,0,1900,26,503
9,0,0,200401,4,2,1,0,0,200,6,0,8,0,1900,26,503
10,0,0,200501,4,2,2,0,0,200,6,0,8,0,1900,28,502
11,0,0,200701,4,3,1,0,0,200,6,0,8,0,2000,28,503
12,0,0,200901,4,3,2,0,0,200,6,0,8,0,2000,28,504
13,0,0,201101,4,3,2,0,0,200,6,0,8,0,2000,28,504
14,0,0,201201,4,4,1,0,0,200,6,0,7,1,1800,23,502
15,0,0,201401,4,4,2,0,0,200,6,0,8,0,1900,25,502
16,0,0,201801,4,5,1,0,0,200,6,0,8,0,1900,25,501
17,0,0,201901,4,5,2,0,0,200,6,0,6,0,1800,24,504
18,0,0,300101,4,1,1,0,0,300,6,0,6,0,1500,20,402
19,0,0,300201,4,1,1,0,0,300,6,0,6,0,1500,20,403
20,0,0,300501,4,1,1,0,0,300,6,0,6,1,750,16,403
21,0,0,300701,4,1,2,0,0,300,6,0,8,0,1250,18,401
22,0,0,300801,4,1,2,0,0,300,6,0,8,0,1000,17,405
23,0,0,301001,4,2,1,0,0,300,6,0,6,0,1250,18,402
24,0,0,301301,4,2,2,0,0,300,6,0,7,1,750,16,401
25,0,0,301401,4,2,2,0,0,300,6,0,6,0,1500,20,404
26,0,0,301501,4,2,2,0,0,300,6,0,6,0,1500,20,402
27,0,0,301701,4,2,2,0,0,300,6,0,8,0,1500,20,401
28,0,0,301901,4,3,1,0,0,300,6,0,8,0,1500,20,401
29,0,0,302001,4,3,1,0,0,300,6,0,7,1,1000,16,402
30,0,0,302401,4,3,2,0,0,300,6,0,6,0,1000,16,405
31,0,0,302501,4,4,1,0,0,300,6,0,6,0,1250,18,402
32,0,0,302601,4,4,1,0,0,300,6,0,6,0,1000,16,405
33,0,0,302701,4,4,2,0,0,300,6,0,7,1,1250,17,402
34,0,0,302801,4,5,1,0,0,300,6,0,6,0,1500,20,403
