id,race_group_id,race_program_id
1,18,18
2,19,19
3,178,178
4,179,179
5,36,36
6,193,193
7,37,37
8,38,38
9,42,42
10,6,6
11,20,20
12,180,180
13,39,39
14,40,40
15,194,194
16,7,7
17,8,8
18,41,41
19,195,195
20,21,21
21,22,22
22,43,43
23,196,196
24,181,181
25,23,23
26,44,44
27,197,197
28,9,9
29,182,182
30,183,183
31,45,45
32,46,46
33,47,47
34,1,1
35,24,24
36,25,25
37,26,26
38,198,198
39,10,10
40,184,184
41,27,27
42,48,48
43,199,199
44,169,169
45,185,185
46,28,28
47,49,49
48,50,50
49,11,11
50,170,170
51,29,29
52,51,51
53,200,200
54,201,201
55,52,52
56,12,12
57,171,171
58,186,186
59,187,187
60,202,202
61,53,53
62,2,2
63,3,3
64,13,13
65,188,188
66,30,30
67,55,55
68,31,31
69,56,56
70,203,203
71,204,204
72,162,162
73,14,14
74,172,172
76,205,205
77,58,58
78,59,59
79,163,163
80,32,32
81,60,60
82,15,15
83,173,173
84,33,33
85,206,206
86,61,61
87,4,4
88,174,174
89,62,62
90,207,207
91,208,208
92,164,164
93,175,175
94,34,34
95,63,63
96,209,209
97,64,64
98,65,65
99,66,66
100,5,5
101,16,16
102,67,67
103,210,210
104,68,68
105,211,211
106,165,165
107,35,35
108,69,69
109,212,212
110,70,70
111,166,166
112,17,17
113,213,213
114,71,71
115,72,72
116,73,73
117,93,93
118,94,94
119,95,95
120,122,122
121,189,189
122,96,96
123,74,74
124,121,121
125,123,123
126,124,124
127,125,125
128,97,97
129,190,190
130,126,126
131,98,98
132,99,99
133,127,127
134,100,100
136,101,101
137,628,628
138,637,637
139,129,129
140,102,102
141,103,103
142,104,104
143,191,191
144,638,638
145,130,130
146,131,131
147,105,105
148,106,106
149,132,132
150,639,639
151,640,640
152,82,82
153,107,107
154,133,133
155,641,641
156,629,629
157,108,108
158,134,134
159,135,135
160,136,136
161,630,630
162,631,631
163,109,109
164,137,137
165,643,643
166,83,83
167,192,192
168,110,110
169,138,138
170,644,644
171,176,176
172,177,177
173,139,139
174,84,84
175,85,85
176,645,645
177,646,646
178,75,75
179,111,111
180,647,647
181,140,140
182,86,86
183,87,87
184,632,632
185,141,141
186,142,142
187,167,167
188,88,88
189,648,648
190,143,143
191,144,144
192,168,168
193,112,112
194,649,649
195,145,145
196,146,146
197,76,76
198,89,89
199,633,633
200,650,650
201,147,147
202,148,148
203,626,626
204,90,90
205,634,634
206,113,113
207,77,77
208,627,627
209,114,114
210,115,115
211,149,149
212,651,651
213,78,78
214,635,635
215,150,150
216,151,151
217,152,152
218,79,79
219,636,636
220,116,116
221,153,153
222,154,154
223,80,80
224,91,91
225,117,117
226,155,155
227,623,623
228,118,118
229,119,119
230,156,156
231,157,157
232,158,158
233,624,624
234,120,120
235,159,159
236,81,81
237,625,625
238,92,92
239,215,215
240,220,220
241,216,216
242,276,276
243,217,217
244,653,653
245,323,323
246,656,656
247,356,356
248,660,660
249,328,328
250,661,661
251,352,352
252,223,223
253,261,261
254,274,274
255,224,224
256,225,225
257,662,662
258,326,326
259,663,663
260,353,353
261,227,227
262,228,228
263,275,275
264,229,229
265,260,260
266,236,236
267,279,279
268,666,666
269,322,322
270,561,561
271,351,351
272,669,669
273,670,670
274,361,361
275,239,239
276,362,362
277,240,240
278,278,278
279,241,241
280,671,671
281,324,324
282,673,673
283,357,357
284,244,244
285,246,246
286,280,280
287,247,247
295,676,676
309,685,685
314,689,689
318,398,398
319,266,266
320,399,399
321,400,400
322,283,283
323,401,401
324,295,295
325,404,404
326,405,405
327,406,406
328,407,407
329,296,296
330,408,408
331,267,267
332,409,409
333,410,410
334,284,284
335,411,411
336,291,291
337,417,417
338,272,272
339,418,418
340,419,419
341,285,285
342,420,420
343,293,293
344,422,422
345,268,268
346,423,423
347,424,424
348,282,282
349,425,425
350,294,294
351,430,430
352,270,270
353,431,431
354,432,432
355,286,286
356,433,433
357,437,437
358,438,438
359,287,287
360,439,439
361,442,442
362,271,271
363,443,443
364,444,444
365,363,363
366,445,445
367,292,292
368,446,446
369,448,448
370,281,281
371,449,449
372,450,450
373,297,297
374,806,806
375,807,807
376,342,342
377,808,808
378,809,809
379,331,331
380,810,810
381,344,344
382,812,812
383,330,330
384,813,813
385,341,341
387,816,816
388,339,339
389,817,817
390,345,345
391,820,820
392,334,334
393,821,821
394,822,822
395,825,825
396,337,337
397,826,826
398,347,347
399,828,828
400,335,335
401,829,829
402,830,830
409,831,831
426,846,846
436,851,851
440,538,538
441,321,321
442,548,548
443,311,311
444,319,319
445,556,556
446,560,560
447,314,314
448,565,565
449,310,310
450,574,574
451,317,317
452,581,581
453,892,892
454,316,316
455,894,894
456,897,897
457,900,900
458,905,905
459,320,320
460,909,909
461,315,315
462,911,911
472,931,931
473,603,603
474,303,303
475,606,606
476,308,308
477,610,610
478,300,300
479,299,299
480,306,306
481,618,618
482,309,309
483,622,622
484,298,298
485,946,946
486,305,305
487,951,951
488,304,304
495,652,652
496,160,160
497,161,161
498,10001,2001
499,10001,2002
500,10001,2003
501,10001,2004
502,10001,2005
503,10001,2006
504,10001,2007
505,10001,2008
506,10001,2009
507,10001,2010
508,10001,2011
509,10001,2012
510,10001,2013
