id,min_value,max_value
1,0,299
2,300,599
3,600,899
4,900,1299
5,1300,1799
6,1800,2299
7,2300,2899
8,2900,3499
9,3500,4899
10,4900,6499
11,6500,8199
12,8200,9999
13,10000,12099
14,12100,14499
15,14500,15899
16,15900,17499
17,17500,19199
18,19200,19599
19,19600,19999
20,20000,20399
21,20400,20799
22,20800,21199
23,21200,21599
24,21600,22099
25,22100,22499
26,22500,22999
27,23000,23399
28,23400,23899
29,23900,24299
30,24300,24799
31,24800,25299
32,25300,25799
33,25800,26299
34,26300,26799
35,26800,27299
36,27300,27799
37,27800,28299
38,28300,28799
39,28800,29399
40,29400,29899
41,29900,30399
42,30400,30999
43,31000,31499
44,31500,32099
45,32100,32699
46,32700,33199
47,33200,33799
48,33800,34399
49,34400,34999
50,35000,35599
51,35600,36199
52,36200,36799
53,36800,37499
54,37500,38099
55,38100,38699
56,38700,39399
57,39400,39999
58,40000,40699
59,40700,41299
60,41300,41999
61,42000,42699
62,42700,43399
63,43400,43999
64,44000,44699
65,44700,45399
66,45400,46199
67,46200,46899
68,46900,47599
69,47600,48299
70,48300,48999
71,49000,49799
72,49800,50499
73,50500,51299
74,51300,51999
75,52000,52799
76,52800,53599
77,53600,54399
78,54400,55199
79,55200,55899
80,55900,56699
81,56700,57499
82,57500,58399
83,58400,59199
84,59200,59999
85,60000,60799
86,60800,61699
87,61700,62499
88,62500,63399
89,63400,64199
90,64200,65099
91,65100,65999
92,66000,66799
93,66800,67699
94,67700,68599
95,68600,69499
96,69500,70399
97,70400,71399
98,71400,99999
