id,reward_set_id,order_min,order_max,reward_type,bonus,odds,item_category,item_id,item_num
1,1,1,18,1,0,1000000,91,59,200
2,1,1,18,1,0,50000,30,110,20
3,2,1,18,1,0,1000000,91,59,200
4,2,1,18,1,0,50000,30,110,20
5,3,1,18,1,0,1000000,91,59,200
6,3,1,18,1,0,50000,30,110,20
7,401,1,1,2,5,300000,30,110,20
8,401,1,1,2,5,400000,91,59,400
9,401,1,1,2,5,50000,90,43,5
10,401,1,1,2,5,10000,97,115,1
11,401,1,1,2,4,300000,30,110,20
12,401,1,1,2,4,400000,91,59,400
13,401,1,1,2,3,300000,30,110,20
14,401,1,1,2,3,400000,91,59,400
15,401,1,1,2,2,300000,30,110,20
16,401,1,1,2,2,400000,91,59,400
17,401,1,1,2,1,300000,30,110,20
18,401,1,1,2,1,400000,91,59,400
19,401,1,18,1,0,50000,30,110,20
20,401,1,18,1,0,1000000,91,59,400
21,401,1,1,1,0,1000000,11,1,1
22,402,1,1,2,5,300000,30,110,20
23,402,1,1,2,5,400000,91,59,400
24,402,1,1,2,5,50000,90,43,5
25,402,1,1,2,5,10000,97,115,1
26,402,1,1,2,4,300000,30,110,20
27,402,1,1,2,4,400000,91,59,400
28,402,1,1,2,3,300000,30,110,20
29,402,1,1,2,3,400000,91,59,400
30,402,1,1,2,2,300000,30,110,20
31,402,1,1,2,2,400000,91,59,400
32,402,1,1,2,1,300000,30,110,20
33,402,1,1,2,1,400000,91,59,400
34,402,1,18,1,0,50000,30,110,20
35,402,1,18,1,0,1000000,91,59,400
36,402,1,1,1,0,1000000,11,4,1
37,403,1,1,2,5,300000,30,110,20
38,403,1,1,2,5,400000,91,59,400
39,403,1,1,2,5,50000,90,43,5
40,403,1,1,2,5,10000,97,115,1
41,403,1,1,2,4,300000,30,110,20
42,403,1,1,2,4,400000,91,59,400
43,403,1,1,2,3,300000,30,110,20
44,403,1,1,2,3,400000,91,59,400
45,403,1,1,2,2,300000,30,110,20
46,403,1,1,2,2,400000,91,59,400
47,403,1,1,2,1,300000,30,110,20
48,403,1,1,2,1,400000,91,59,400
49,403,1,18,1,0,50000,30,110,20
50,403,1,18,1,0,1000000,91,59,400
51,403,1,1,1,0,1000000,11,7,1
52,404,1,1,2,5,300000,30,110,20
53,404,1,1,2,5,400000,91,59,400
54,404,1,1,2,5,50000,90,43,5
55,404,1,1,2,5,10000,97,115,1
56,404,1,1,2,4,300000,30,110,20
57,404,1,1,2,4,400000,91,59,400
58,404,1,1,2,3,300000,30,110,20
59,404,1,1,2,3,400000,91,59,400
60,404,1,1,2,2,300000,30,110,20
61,404,1,1,2,2,400000,91,59,400
62,404,1,1,2,1,300000,30,110,20
63,404,1,1,2,1,400000,91,59,400
64,404,1,18,1,0,50000,30,110,20
65,404,1,18,1,0,1000000,91,59,400
66,404,1,1,1,0,1000000,11,10,1
67,405,1,1,2,5,300000,30,110,20
68,405,1,1,2,5,400000,91,59,400
69,405,1,1,2,5,50000,90,43,5
70,405,1,1,2,5,10000,97,115,1
71,405,1,1,2,4,300000,30,110,20
72,405,1,1,2,4,400000,91,59,400
73,405,1,1,2,3,300000,30,110,20
74,405,1,1,2,3,400000,91,59,400
75,405,1,1,2,2,300000,30,110,20
76,405,1,1,2,2,400000,91,59,400
77,405,1,1,2,1,300000,30,110,20
78,405,1,1,2,1,400000,91,59,400
79,405,1,18,1,0,50000,30,110,20
80,405,1,18,1,0,1000000,91,59,400
81,405,1,1,1,0,1000000,11,13,1
82,501,1,1,2,5,300000,30,110,20
83,501,1,1,2,5,400000,91,59,400
84,501,1,1,2,5,50000,90,43,5
85,501,1,1,2,5,10000,97,115,1
86,501,1,1,2,4,300000,30,110,20
87,501,1,1,2,4,400000,91,59,400
88,501,1,1,2,3,300000,30,110,20
89,501,1,1,2,3,400000,91,59,400
90,501,1,1,2,2,300000,30,110,20
91,501,1,1,2,2,400000,91,59,400
92,501,1,1,2,1,300000,30,110,20
93,501,1,1,2,1,400000,91,59,400
94,501,1,18,1,0,50000,30,110,20
95,501,1,18,1,0,1000000,91,59,400
96,501,1,1,1,0,1000000,11,1,1
97,502,1,1,2,5,300000,30,110,20
98,502,1,1,2,5,400000,91,59,400
99,502,1,1,2,5,50000,90,43,5
100,502,1,1,2,5,10000,97,115,1
101,502,1,1,2,4,300000,30,110,20
102,502,1,1,2,4,400000,91,59,400
103,502,1,1,2,3,300000,30,110,20
104,502,1,1,2,3,400000,91,59,400
105,502,1,1,2,2,300000,30,110,20
106,502,1,1,2,2,400000,91,59,400
107,502,1,1,2,1,300000,30,110,20
108,502,1,1,2,1,400000,91,59,400
109,502,1,18,1,0,50000,30,110,20
110,502,1,18,1,0,1000000,91,59,400
111,502,1,1,1,0,1000000,11,4,1
112,503,1,1,2,5,300000,30,110,20
113,503,1,1,2,5,400000,91,59,400
114,503,1,1,2,5,50000,90,43,5
115,503,1,1,2,5,10000,97,115,1
116,503,1,1,2,4,300000,30,110,20
117,503,1,1,2,4,400000,91,59,400
118,503,1,1,2,3,300000,30,110,20
119,503,1,1,2,3,400000,91,59,400
120,503,1,1,2,2,300000,30,110,20
121,503,1,1,2,2,400000,91,59,400
122,503,1,1,2,1,300000,30,110,20
123,503,1,1,2,1,400000,91,59,400
124,503,1,18,1,0,50000,30,110,20
125,503,1,18,1,0,1000000,91,59,400
126,503,1,1,1,0,1000000,11,7,1
127,504,1,1,2,5,300000,30,110,20
128,504,1,1,2,5,400000,91,59,400
129,504,1,1,2,5,50000,90,43,5
130,504,1,1,2,5,10000,97,115,1
131,504,1,1,2,4,300000,30,110,20
132,504,1,1,2,4,400000,91,59,400
133,504,1,1,2,3,300000,30,110,20
134,504,1,1,2,3,400000,91,59,400
135,504,1,1,2,2,300000,30,110,20
136,504,1,1,2,2,400000,91,59,400
137,504,1,1,2,1,300000,30,110,20
138,504,1,1,2,1,400000,91,59,400
139,504,1,18,1,0,50000,30,110,20
140,504,1,18,1,0,1000000,91,59,400
141,504,1,1,1,0,1000000,11,10,1
142,505,1,1,2,5,300000,30,110,20
143,505,1,1,2,5,400000,91,59,400
144,505,1,1,2,5,50000,90,43,5
145,505,1,1,2,5,10000,97,115,1
146,505,1,1,2,4,300000,30,110,20
147,505,1,1,2,4,400000,91,59,400
148,505,1,1,2,3,300000,30,110,20
149,505,1,1,2,3,400000,91,59,400
150,505,1,1,2,2,300000,30,110,20
151,505,1,1,2,2,400000,91,59,400
152,505,1,1,2,1,300000,30,110,20
153,505,1,1,2,1,400000,91,59,400
154,505,1,18,1,0,50000,30,110,20
155,505,1,18,1,0,1000000,91,59,400
156,505,1,1,1,0,1000000,11,13,1
157,100101,1,1,2,5,400000,91,59,400
158,100101,1,1,2,5,300000,30,110,20
159,100101,1,1,2,5,50000,90,43,5
160,100101,1,1,2,5,10000,97,115,1
161,100101,1,1,2,4,400000,91,59,400
162,100101,1,1,2,4,300000,30,110,20
163,100101,1,1,2,3,400000,91,59,400
164,100101,1,1,2,3,300000,30,110,20
165,100101,1,1,2,2,400000,91,59,400
166,100101,1,1,2,2,300000,30,110,20
167,100101,1,1,2,1,400000,91,59,400
168,100101,1,1,2,1,300000,30,110,20
169,100101,1,1,1,0,1000000,11,69,1
170,100101,1,18,1,0,1000000,91,59,400
171,100101,1,18,1,0,50000,30,110,20
172,100101,1,1,1,0,1000000,11,13,1
173,100201,1,1,2,5,400000,91,59,400
174,100201,1,1,2,5,300000,30,110,20
175,100201,1,1,2,5,50000,90,43,5
176,100201,1,1,2,5,10000,97,115,1
177,100201,1,1,2,4,400000,91,59,400
178,100201,1,1,2,4,300000,30,110,20
179,100201,1,1,2,3,400000,91,59,400
180,100201,1,1,2,3,300000,30,110,20
181,100201,1,1,2,2,400000,91,59,400
182,100201,1,1,2,2,300000,30,110,20
183,100201,1,1,2,1,400000,91,59,400
184,100201,1,1,2,1,300000,30,110,20
185,100201,1,1,1,0,1000000,11,70,1
186,100201,1,18,1,0,1000000,91,59,400
187,100201,1,18,1,0,50000,30,110,20
188,100201,1,1,1,0,1000000,11,1,1
189,100301,1,1,2,5,400000,91,59,400
190,100301,1,1,2,5,300000,30,110,20
191,100301,1,1,2,5,50000,90,43,5
192,100301,1,1,2,5,10000,97,115,1
193,100301,1,1,2,4,400000,91,59,400
194,100301,1,1,2,4,300000,30,110,20
195,100301,1,1,2,3,400000,91,59,400
196,100301,1,1,2,3,300000,30,110,20
197,100301,1,1,2,2,400000,91,59,400
198,100301,1,1,2,2,300000,30,110,20
199,100301,1,1,2,1,400000,91,59,400
200,100301,1,1,2,1,300000,30,110,20
201,100301,1,1,1,0,1000000,11,71,1
202,100301,1,18,1,0,1000000,91,59,400
203,100301,1,18,1,0,50000,30,110,20
204,100301,1,1,1,0,1000000,11,7,1
205,100401,1,1,2,5,400000,91,59,400
206,100401,1,1,2,5,300000,30,110,20
207,100401,1,1,2,5,50000,90,43,5
208,100401,1,1,2,5,10000,97,115,1
209,100401,1,1,2,4,400000,91,59,400
210,100401,1,1,2,4,300000,30,110,20
211,100401,1,1,2,3,400000,91,59,400
212,100401,1,1,2,3,300000,30,110,20
213,100401,1,1,2,2,400000,91,59,400
214,100401,1,1,2,2,300000,30,110,20
215,100401,1,1,2,1,400000,91,59,400
216,100401,1,1,2,1,300000,30,110,20
217,100401,1,1,1,0,1000000,11,72,1
218,100401,1,18,1,0,1000000,91,59,400
219,100401,1,18,1,0,50000,30,110,20
220,100401,1,1,1,0,1000000,11,4,1
221,100501,1,1,2,5,400000,91,59,400
222,100501,1,1,2,5,300000,30,110,20
223,100501,1,1,2,5,50000,90,43,5
224,100501,1,1,2,5,10000,97,115,1
