id,need_skill_point,status_type,status_value,solvable_type
200011,110,0,0,0
200012,90,0,0,0
200013,50,0,0,0
200014,130,0,0,0
200021,110,0,0,0
200022,90,0,0,0
200023,50,0,0,0
200031,110,0,0,0
200032,90,0,0,0
200033,50,0,0,0
200041,110,0,0,0
200042,90,0,0,0
200043,50,0,0,0
200051,110,0,0,0
200052,90,0,0,0
200053,50,0,0,0
200061,110,0,0,0
200062,90,0,0,0
200063,50,0,0,0
200064,130,0,0,0
200071,110,0,0,0
200072,90,0,0,0
200073,50,0,0,0
200081,90,0,0,0
200082,70,0,0,0
200083,40,0,0,0
200091,90,0,0,0
200092,70,0,0,0
200093,40,0,0,0
200101,90,0,0,0
200102,70,0,0,0
200103,40,0,0,0
200111,90,0,0,0
200112,70,0,0,0
200113,40,0,0,0
200121,90,0,0,0
200122,70,0,0,0
200123,40,0,0,0
200131,110,0,0,0
200132,90,0,0,0
200133,50,0,0,0
200141,110,0,0,0
200142,90,0,0,0
200143,50,0,0,0
200151,110,0,0,0
200152,90,0,0,0
200153,50,0,0,0
200154,130,0,0,0
200161,110,0,0,0
200162,90,0,0,0
200163,50,0,0,0
200171,110,0,0,0
200172,90,0,0,0
200173,50,0,0,0
200174,130,0,0,0
200181,110,0,0,0
200182,90,0,0,0
200183,50,0,0,0
200191,110,0,0,0
200192,90,0,0,0
200193,50,0,0,0
200194,130,0,0,0
200201,110,0,0,0
200202,90,0,0,0
200203,50,0,0,0
200211,110,0,0,0
200212,90,0,0,0
200221,110,0,0,0
200222,90,0,0,0
200231,110,0,0,0
200232,90,0,0,0
200233,50,0,0,0
200241,110,0,0,0
200242,90,0,0,0
200251,110,0,0,0
200252,90,0,0,0
200253,50,0,0,0
200261,110,0,0,0
200262,90,0,0,0
200263,50,0,0,0
200271,110,0,0,0
200272,90,0,0,0
200281,110,0,0,0
200282,90,0,0,0
200283,50,0,0,0
200291,110,0,0,0
200292,90,0,0,0
200301,110,0,0,0
200302,90,0,0,0
200311,50,0,0,0
200321,50,0,0,0
200331,180,0,0,0
200332,180,0,0,0
