id,story_id,short_story_id,card_id,card_chara_id,support_card_id,support_chara_id,show_progress_1,show_progress_2,show_progress_3,show_clear,show_succession,event_title_style,event_title_dress_icon,event_title_chara_icon,se_change,ending_type,race_event_flag,mini_game_result,gallery_main_scenario,gallery_flag,gallery_list_id,available_gallery_key,past_race_id
1,400000090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,400000091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,400000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,400001022,400001411,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,13,1,0
5,400001030,400001412,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,14,0,0
6,400000001,400000400,0,0,0,0,0,0,0,0,0,0,0,9001,0,0,0,0,1,3,1,1,0
7,400000009,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,1,0
8,400000010,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,1,0
9,400000011,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,1,0
10,400000012,0,0,0,0,0,0,0,0,0,0,0,0,9002,0,0,0,0,0,0,0,1,0
11,400000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,400000031,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,1,0
13,400000032,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,1,0
14,400000033,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,1,0
15,400000034,0,0,0,0,0,0,0,0,0,0,0,0,9003,0,0,0,0,0,0,0,1,0
16,400000035,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
17,400000036,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
18,400001002,400001401,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,2,1,0
19,400001013,400001402,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,3,1,0
20,400001014,400001403,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,4,1,0
21,400001015,400001404,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,5,1,0
22,400001016,400001405,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6,1,0
23,400001017,400001406,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,8,1,0
24,400001018,400001407,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,9,1,0
25,400001019,400001408,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,10,1,0
26,400001020,400001409,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,11,1,0
27,400001021,400001410,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,12,1,0
28,501001100,501001400,0,1001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
29,501002100,501002400,0,1002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
30,501003100,501003400,0,1003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
31,501004100,501004400,0,1004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
33,501006100,501006400,0,1006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
