id,rank,race_instance_id_1,race_instance_id_2,race_instance_id_3,race_instance_id_4,race_instance_id_5,status_correction,super_team_chara_id,motion_id
100,1,620000,620010,620020,620030,620040,-4000,0,0
101,1,620001,620011,620021,620031,620041,-4000,0,0
102,1,620002,620012,620022,620032,620042,-4000,0,0
103,1,620003,620013,620023,620033,620043,-4000,0,0
104,1,620004,620014,620024,620034,620044,-4000,0,0
105,1,620005,620015,620025,620035,620045,-4000,0,0
106,1,620006,620016,620026,620036,620046,-4000,0,0
107,1,620007,620017,620027,620037,620047,-4000,0,0
108,1,620008,620018,620028,620038,620048,-4000,0,0
109,1,620009,620019,620029,620039,620049,-4000,0,0
200,2,620050,620053,620056,620059,620062,-2000,0,0
201,2,620051,620054,620057,620060,620063,-2000,0,0
202,2,620052,620055,620058,620061,620064,-2000,0,0
203,2,622000,622026,622052,622078,622104,-2000,0,0
204,2,622001,622027,622053,622079,622105,-2000,0,0
205,2,622002,622028,622054,622080,622106,-2000,0,0
300,3,620065,620068,620071,620074,620077,0,0,0
301,3,620066,620069,620072,620075,620078,0,0,0
302,3,620067,620070,620073,620076,620079,0,0,0
303,3,622003,622029,622055,622081,622107,0,0,0
304,3,622004,622030,622056,622082,622108,0,0,0
305,3,622005,622031,622057,622083,622109,0,0,0
306,3,622006,622032,622058,622084,622110,0,0,0
400,4,620080,620083,620086,620089,620092,6000,0,0
401,4,620081,620084,620087,620090,620093,6000,0,0
402,4,620082,620085,620088,620091,620094,6000,0,0
403,4,622007,622033,622059,622085,622111,6000,0,0
404,4,622008,622034,622060,622086,622112,6000,0,0
405,4,622009,622035,622061,622087,622113,6000,0,0
406,4,622010,622036,622062,622088,622114,6000,0,0
407,4,622011,622037,622063,622089,622115,6000,0,0
500,5,620095,620098,620101,620104,620107,10000,0,0
501,5,620096,620099,620102,620105,620108,10000,0,0
502,5,620097,620100,620103,620106,620109,10000,0,0
503,5,622012,622038,622064,622090,622116,10000,0,0
504,5,622013,622039,622065,622091,622117,10000,0,0
505,5,622014,622040,622066,622092,622118,10000,0,0
506,5,622015,622041,622067,622093,622119,10000,0,0
507,5,622016,622042,622068,622094,622120,10000,0,0
508,5,622017,622043,622069,622095,622121,10000,0,0
600,6,620110,620113,620116,620119,620122,14000,0,0
601,6,620111,620114,620117,620120,620123,14000,0,0
602,6,620112,620115,620118,620121,620124,14000,0,0
603,6,622018,622044,622070,622096,622122,14000,0,0
604,6,622019,622045,622071,622097,622123,14000,0,0
605,6,622020,622046,622072,622098,622124,14000,0,0
606,6,622021,622047,622073,622099,622125,14000,0,0
607,6,622022,622048,622074,622100,622126,14000,0,0
608,6,622023,622049,622075,622101,622127,14000,0,0
700,7,620125,620128,620131,620134,620137,18000,0,0
701,7,620126,620129,620132,620135,620138,18000,0,0
702,7,620127,620130,620133,620136,620139,18000,0,0
703,7,622024,622050,622076,622102,622128,18000,0,0
704,7,622025,622051,622077,622103,622129,18000,0,0
803,8,621001,621101,621201,621301,621401,21000,1098,2
804,8,621002,621102,621202,621302,621402,21000,1042,3
805,8,621003,621103,621203,621303,621403,21000,1076,1
806,8,621004,621104,621204,621304,621404,21000,1032,4
807,8,621005,621105,621205,621305,621405,21000,1013,3
808,8,621006,621106,621206,621306,621406,21000,1007,2
809,8,621007,621107,621207,621307,621407,21000,1002,4
810,8,621008,621108,621208,621308,621408,21000,1061,1
811,8,621009,621109,621209,621309,621409,21000,1051,5
812,8,621010,621110,621210,621310,621410,21000,1099,5
813,8,621011,621111,621211,621311,621411,21000,1001,1
814,8,621012,621112,621212,621312,621412,21000,1023,10
902,100,620155,620156,620157,620158,620159,0,0,0
1000,101,621013,621113,621213,621313,621413,0,0,0
