id,command_id,base_command_id,command_level,command_type,cutin_file_id,max_chara_num,failure_rate,menu_bg_id,menu_bg_sub_id,env_cue_name,env_cuesheet_name,motion_set,sabori_type,dress_type,dress_id
1,101,101,1,1,101011,2,520,70,110,snd_sfx_atmos_01,snd_sfx_training_000,19000,1,0,3
2,101,101,2,1,101012,2,524,15,110,snd_sfx_atmos_06,snd_sfx_training_000,19000,2,0,3
3,101,101,3,1,101013,2,528,15,110,snd_sfx_atmos_06,snd_sfx_training_000,19000,2,0,3
4,101,101,4,1,101014,2,532,20,110,snd_sfx_atmos_02,snd_sfx_training_000,19000,2,0,3
5,101,101,5,1,101015,2,536,71,110,snd_sfx_atmos_01,snd_sfx_training_000,19000,1,0,3
6,105,105,1,1,101031,2,507,13,110,snd_sfx_atmos_04,snd_sfx_training_000,20000,2,0,4
7,105,105,2,1,101032,2,511,13,110,snd_sfx_atmos_04,snd_sfx_training_000,20000,2,0,4
8,105,105,3,1,101033,2,515,13,110,snd_sfx_atmos_04,snd_sfx_training_000,20000,2,0,4
9,105,105,4,1,101034,2,519,13,110,snd_sfx_atmos_04,snd_sfx_training_000,20000,2,0,4
10,105,105,5,1,101035,2,523,13,110,snd_sfx_atmos_04,snd_sfx_training_000,20000,2,0,4
11,102,102,1,1,101021,2,516,71,110,snd_sfx_atmos_01,snd_sfx_training_000,21000,1,0,3
12,102,102,2,1,101022,2,520,20,110,snd_sfx_atmos_02,snd_sfx_training_000,21000,2,0,3
13,102,102,3,1,101023,2,524,20,110,snd_sfx_atmos_02,snd_sfx_training_000,21000,2,0,3
14,102,102,4,1,101024,2,528,15,110,snd_sfx_atmos_06,snd_sfx_training_000,21000,2,0,3
15,102,102,5,1,101025,2,532,70,110,snd_sfx_atmos_01,snd_sfx_training_000,21000,1,0,3
16,103,103,1,1,101041,2,532,72,110,snd_sfx_atmos_01,snd_sfx_training_000,22000,1,0,3
17,103,103,2,1,101042,2,536,72,110,snd_sfx_atmos_01,snd_sfx_training_000,22000,1,0,3
18,103,103,3,1,101043,2,540,20,110,snd_sfx_atmos_02,snd_sfx_training_000,22000,2,0,3
19,103,103,4,1,101044,2,544,39,110,snd_sfx_atmos_01,snd_sfx_training_000,22000,1,0,3
20,103,103,5,1,101045,2,548,71,110,snd_sfx_atmos_01,snd_sfx_training_000,22000,1,0,3
21,106,106,1,1,101051,2,320,6,110,snd_sfx_atmos_03,snd_sfx_training_000,23000,2,0,2
22,106,106,2,1,101052,2,321,6,110,snd_sfx_atmos_03,snd_sfx_training_000,23000,2,0,2
23,106,106,3,1,101053,2,322,6,110,snd_sfx_atmos_03,snd_sfx_training_000,23000,2,0,2
24,106,106,4,1,101054,2,323,1,1110,snd_sfx_atmos_03,snd_sfx_training_000,23000,2,0,3
25,106,106,5,1,101055,2,324,20,110,snd_sfx_atmos_02,snd_sfx_training_000,23000,2,0,3
26,301,301,0,3,103010,1,0,0,0,0,0,0,0,0,2
27,302,302,0,3,103020,1,0,0,0,0,0,0,0,0,2
28,303,303,0,3,103030,1,0,0,0,0,0,0,0,0,2
29,601,101,5,1,102010,2,536,42,2111,snd_sfx_atmos_05,snd_sfx_training_000,19000,3,0,4
30,602,105,5,1,102030,2,523,42,2113,snd_sfx_atmos_05,snd_sfx_training_000,20000,3,0,4
31,603,102,5,1,102020,2,532,42,2112,snd_sfx_atmos_05,snd_sfx_training_000,21000,3,0,4
32,604,103,5,1,102040,2,548,42,2111,snd_sfx_atmos_05,snd_sfx_training_000,22000,3,0,4
33,605,106,5,1,102050,2,324,42,2112,snd_sfx_atmos_05,snd_sfx_training_000,23000,3,0,4
34,304,304,0,3,103040,1,0,0,0,0,0,0,0,0,4
35,305,305,0,3,103050,1,0,0,0,0,0,0,0,0,9
36,701,701,0,7,701,1,0,0,0,0,0,0,0,0,0
37,1006,1006,1,10,201006,5,0,0,0,0,0,0,0,0,101
38,1032,1032,1,10,201032,5,0,0,0,0,0,0,0,0,101
39,1040,1040,1,10,201040,5,0,0,0,0,0,0,0,0,101
40,1044,1044,1,10,201044,5,0,0,0,0,0,0,0,0,101
41,1003,1003,1,10,201003,5,0,0,0,0,0,0,0,0,101
42,1012,1012,2,10,201012,5,0,0,0,0,0,0,0,0,101
43,1043,1043,2,10,201043,5,0,0,0,0,0,0,0,0,101
44,1042,1042,2,10,201042,5,0,0,0,0,0,0,0,0,101
45,1038,1038,2,10,201038,5,0,0,0,0,0,0,0,0,101
46,1045,1045,2,10,201045,5,0,0,0,0,0,0,0,0,101
47,1046,1046,2,10,201046,5,0,0,0,0,0,0,0,0,101
48,1047,1047,2,10,201047,5,0,0,0,0,0,0,0,0,101
49,1023,1023,2,10,201023,5,0,0,0,0,0,0,0,0,101
50,1021,1021,2,10,201021,5,0,0,0,0,0,0,0,0,101
51,1011,1011,2,10,201011,5,0,0,0,0,0,0,0,0,101
52,1014,1014,2,10,201014,5,0,0,0,0,0,0,0,0,101
53,1041,1041,2,10,201041,5,0,0,0,0,0,0,0,0,101
54,1039,1039,2,10,201039,5,0,0,0,0,0,0,0,0,101
55,1034,1034,2,10,201034,5,0,0,0,0,0,0,0,0,101
56,1020,1020,3,10,201020,5,0,0,0,0,0,0,0,0,101
57,1024,1024,3,10,201024,5,0,0,0,0,0,0,0,0,101
58,1057,1057,2,10,201057,5,0,0,0,0,0,0,0,0,101
