id,sheet_id,se_cue_name,se_cuesheet_name,skip_se_cue_name,skip_se_cuesheet_name,chara_index,voice_trigger_id
1,Bad01_101011_001_01_000,trc_101011_001_01_000_bad,snd_sfx_training_000,trc_101011,snd_sfx_training_000,0,0
2,Suc01_101011_001_01_000,trc_101011_001_01_000_suc,snd_sfx_training_000,trc_101011,snd_sfx_training_000,0,0
3,Bad01_101011_001_02_000,trc_101011_001_02_000_bad,snd_sfx_training_000,trc_101011,snd_sfx_training_000,0,0
4,Suc01_101011_001_02_000,trc_101011_001_02_000_suc,snd_sfx_training_000,trc_101011,snd_sfx_training_000,0,0
5,Bad01_101012_001_01_000,trc_101012_001_01_000_bad,snd_sfx_training_000,trc_101012,snd_sfx_training_000,0,0
6,Suc01_101012_001_01_000,trc_101012_001_01_000_suc,snd_sfx_training_000,trc_101012,snd_sfx_training_000,0,0
7,Bad01_101012_001_02_000,trc_101012_001_02_000_bad,snd_sfx_training_000,trc_101012,snd_sfx_training_000,0,0
8,Suc01_101012_001_02_000,trc_101012_001_02_000_suc,snd_sfx_training_000,trc_101012,snd_sfx_training_000,0,0
9,Bad01_101013_001_01_000,trc_101013_001_01_000_bad,snd_sfx_training_000,trc_101013,snd_sfx_training_000,0,0
10,Suc01_101013_001_01_000,trc_101013_001_01_000_suc,snd_sfx_training_000,trc_101013,snd_sfx_training_000,0,0
11,Bad01_101013_001_02_000,trc_101013_001_02_000_bad,snd_sfx_training_000,trc_101013,snd_sfx_training_000,0,0
12,Suc01_101013_001_02_000,trc_101013_001_02_000_suc,snd_sfx_training_000,trc_101013,snd_sfx_training_000,0,0
13,Bad01_101014_001_01_000,trc_101014_001_01_000_bad,snd_sfx_training_000,trc_101014,snd_sfx_training_000,0,0
14,Suc01_101014_001_01_000,trc_101014_001_01_000_suc,snd_sfx_training_000,trc_101014,snd_sfx_training_000,0,0
15,Bad01_101014_001_02_000,trc_101014_001_02_000_bad,snd_sfx_training_000,trc_101014,snd_sfx_training_000,0,0
16,Suc01_101014_001_02_000,trc_101014_001_02_000_suc,snd_sfx_training_000,trc_101014,snd_sfx_training_000,0,0
17,Bad01_101015_001_01_000,trc_101015_001_01_000_bad,snd_sfx_training_000,trc_101015,snd_sfx_training_000,0,0
18,Suc01_101015_001_01_000,trc_101015_001_01_000_suc,snd_sfx_training_000,trc_101015,snd_sfx_training_000,0,0
19,Bad01_101015_001_02_000,trc_101015_001_02_000_bad,snd_sfx_training_000,trc_101015,snd_sfx_training_000,0,0
20,Suc01_101015_001_02_000,trc_101015_001_02_000_suc,snd_sfx_training_000,trc_101015,snd_sfx_training_000,0,0
21,Bad01_101021_001_01_000,trc_101021_001_01_000_bad,snd_sfx_training_000,trc_101021,snd_sfx_training_000,0,0
22,Suc01_101021_001_01_000,trc_101021_001_01_000_suc,snd_sfx_training_000,trc_101021,snd_sfx_training_000,0,0
23,Bad01_101021_001_02_000,trc_101021_001_02_000_bad,snd_sfx_training_000,trc_101021,snd_sfx_training_000,0,0
24,Suc01_101021_001_02_000,trc_101021_001_02_000_suc,snd_sfx_training_000,trc_101021,snd_sfx_training_000,0,0
25,Bad01_101022_001_01_000,trc_101022_001_01_000_bad,snd_sfx_training_000,trc_101022,snd_sfx_training_000,0,0
26,Suc01_101022_001_01_000,trc_101022_001_01_000_suc,snd_sfx_training_000,trc_101022,snd_sfx_training_000,0,0
27,Bad01_101022_001_02_000,trc_101022_001_02_000_bad,snd_sfx_training_000,trc_101022,snd_sfx_training_000,0,0
28,Suc01_101022_001_02_000,trc_101022_001_02_000_suc,snd_sfx_training_000,trc_101022,snd_sfx_training_000,0,0
29,Bad01_101023_001_01_000,trc_101023_001_01_000_bad,snd_sfx_training_000,trc_101023,snd_sfx_training_000,0,0
30,Suc01_101023_001_01_000,trc_101023_001_01_000_suc,snd_sfx_training_000,trc_101023,snd_sfx_training_000,0,0
31,Bad01_101023_001_02_000,trc_101023_001_02_000_bad,snd_sfx_training_000,trc_101023,snd_sfx_training_000,0,0
32,Suc01_101023_001_02_000,trc_101023_001_02_000_suc,snd_sfx_training_000,trc_101023,snd_sfx_training_000,0,0
33,Bad01_101024_001_01_000,trc_101024_001_01_000_bad,snd_sfx_training_000,trc_101024,snd_sfx_training_000,0,0
34,Suc01_101024_001_01_000,trc_101024_001_01_000_suc,snd_sfx_training_000,trc_101024,snd_sfx_training_000,0,0
35,Bad01_101024_001_02_000,trc_101024_001_02_000_bad,snd_sfx_training_000,trc_101024,snd_sfx_training_000,0,0
36,Suc01_101024_001_02_000,trc_101024_001_02_000_suc,snd_sfx_training_000,trc_101024,snd_sfx_training_000,0,0
37,Bad01_101025_001_01_000,trc_101025_001_01_000_bad,snd_sfx_training_000,trc_101025,snd_sfx_training_000,0,0
38,Suc01_101025_001_01_000,trc_101025_001_01_000_suc,snd_sfx_training_000,trc_101025,snd_sfx_training_000,0,0
39,Bad01_101025_001_02_000,trc_101025_001_02_000_bad,snd_sfx_training_000,trc_101025,snd_sfx_training_000,0,0
40,Suc01_101025_001_02_000,trc_101025_001_02_000_suc,snd_sfx_training_000,trc_101025,snd_sfx_training_000,0,0
41,Bad01_101031_001_01_001,trc_101031_001_01_001_bad,snd_sfx_training_000,trc_101031,snd_sfx_training_000,0,0
42,Bad01_101031_001_01_002,trc_101031_001_01_002_bad,snd_sfx_training_000,trc_101031,snd_sfx_training_000,0,0
