id,partner_id,scenario_id,chara_id,period,training_placement,gain_flag_id,is_support_featured_stock,gain_role_id
1,101,1,9001,0,1,0,0,109001
2,102,1,9002,2,0,0,0,109002
3,103,1,9003,2,0,0,0,109003
4,104,1,9004,0,0,0,0,109004
5,106,1,9006,0,1,9006,0,109006
6,108,1,9008,0,1,9008,0,109008
201,101,2,9001,0,1,0,0,209001
203,103,2,9003,2,0,0,0,209003
204,104,2,9004,0,1,9004,0,209004
205,106,2,9006,2,0,0,1,209006
206,108,2,9008,0,1,9008,0,209008
301,101,3,9001,0,1,0,0,309001
302,102,3,9002,2,0,0,0,309002
303,103,3,9003,2,0,0,0,309003
304,104,3,9004,0,1,9004,0,309004
305,106,3,9006,0,1,9006,0,309006
306,108,3,9008,2,0,0,1,309008
401,101,4,9001,0,1,0,0,409001
402,102,4,9002,2,0,0,0,409002
403,103,4,9003,2,0,0,0,409003
404,104,4,9004,0,1,9004,0,409004
405,106,4,9006,0,1,9006,0,409006
406,108,4,9008,0,1,9008,0,409008
501,101,5,9001,0,1,0,0,509001
502,102,5,9002,2,0,0,0,509002
503,103,5,9003,2,0,0,0,509003
504,104,5,9004,0,1,9004,0,509004
505,106,5,9006,0,1,9006,0,509006
506,108,5,9008,0,1,9008,0,509008
