id,spirit_effect_group_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,11,1,1,1,0,0
2,12,1,1,2,0,0
3,13,1,1,2,0,0
4,14,1,1,3,0,0
5,15,1,1,3,0,0
6,21,1,2,1,0,0
7,22,1,2,2,0,0
8,23,1,2,2,0,0
9,24,1,2,3,0,0
10,25,1,2,3,0,0
11,31,1,3,1,0,0
12,32,1,3,2,0,0
13,33,1,3,2,0,0
14,34,1,3,3,0,0
15,35,1,3,3,0,0
16,41,1,4,1,0,0
17,42,1,4,2,0,0
18,43,1,4,2,0,0
19,44,1,4,3,0,0
20,45,1,4,3,0,0
21,51,1,5,1,0,0
22,52,1,5,2,0,0
23,53,1,5,2,0,0
24,54,1,5,3,0,0
25,55,1,5,3,0,0
26,61,1,30,1,0,0
27,62,1,30,2,0,0
28,63,1,30,2,0,0
29,64,1,30,3,0,0
30,65,1,30,3,0,0
31,71,4,0,10,0,0
32,72,4,0,15,0,0
33,73,4,0,20,0,0
34,74,4,0,20,0,0
35,75,4,0,25,0,0
101,401,12,0,0,0,0
102,411,3,0,10000,0,0
103,411,4,0,10000,0,0
104,411,10,5,20,0,1
105,421,11,0,0,0,0
106,401,13,10,50,0,0
107,401,13,20,5,0,0
108,401,14,6,35,0,0
1001,4001,7,0,10,0,0
1002,4001,2,0,5,0,0
1003,4002,7,0,15,0,0
1004,4002,2,0,8,0,0
1005,4003,7,0,18,0,0
1006,4003,2,0,11,0,0
1007,4004,7,0,20,0,0
1008,4004,2,0,13,0,0
1009,4005,7,0,23,0,0
1010,4005,2,0,15,0,0
1011,4101,3,0,20,0,0
1012,4101,4,0,20,0,0
1013,4101,2,0,5,0,0
1014,4102,3,0,25,0,0
1015,4102,4,0,25,0,0
1016,4102,2,0,8,0,0
1017,4103,3,0,30,0,0
1018,4103,4,0,30,0,0
1019,4103,2,0,11,0,0
1020,4104,3,0,33,0,0
1021,4104,4,0,33,0,0
1022,4104,2,0,13,0,0
1023,4105,3,0,35,0,0
1024,4105,4,0,35,0,0
1025,4105,2,0,15,0,0
1026,4201,8,0,10,0,0
1027,4201,9,0,20,0,0
1028,4201,2,0,5,0,0
1029,4202,8,0,15,0,0
1030,4202,9,0,40,0,0
1031,4202,2,0,8,0,0
1032,4203,8,0,20,0,0
1033,4203,9,0,60,0,0
1034,4203,2,0,11,0,0
1035,4204,8,0,23,0,0
1036,4204,9,0,80,0,0
1037,4204,2,0,13,0,0
1038,4205,8,0,25,0,0
1039,4205,9,0,90,0,0
1040,4205,2,0,15,0,0
