spirit_id,chara_id,bonus_group,spirit_effect_group_id_1,spirit_effect_group_id_2,spirit_effect_group_id_3,spirit_effect_group_id_4,spirit_effect_group_id_5
1,9040,1,11,12,14,13,15
2,9040,2,21,22,24,23,25
3,9040,3,31,32,34,33,35
4,9040,4,41,42,44,43,45
5,9040,5,51,52,54,53,55
6,9040,6,61,62,64,63,65
9,9041,1,11,12,14,13,15
10,9041,2,21,22,24,23,25
11,9041,3,31,32,34,33,35
12,9041,4,41,42,44,43,45
13,9041,5,51,52,54,53,55
14,9041,6,61,62,64,63,65
17,9042,1,11,12,14,13,15
18,9042,2,21,22,24,23,25
19,9042,3,31,32,34,33,35
20,9042,4,41,42,44,43,45
21,9042,5,51,52,54,53,55
22,9042,6,61,62,64,63,65
