id,ability_type,level,float_ability_value_coef
1,1,1,10000
2,1,2,10100
3,1,3,10200
4,1,4,10300
5,1,5,10400
6,1,6,10500
7,1,7,10600
8,1,8,10700
9,1,9,10800
10,1,10,11000
11,2,1,10000
12,2,2,10100
13,2,3,10200
14,2,4,10300
15,2,5,10400
16,2,6,10500
17,2,7,10600
18,2,8,10700
19,2,9,10800
20,2,10,11000
21,3,1,10000
22,3,2,10100
23,3,3,10200
24,3,4,10300
25,3,5,10400
26,3,6,10500
27,3,7,10600
28,3,8,10700
29,3,9,10800
30,3,10,11000
31,4,1,10000
32,4,2,10100
33,4,3,10200
34,4,4,10300
35,4,5,10400
36,4,6,10500
37,4,7,10600
38,4,8,10700
39,4,9,10800
40,4,10,11000
41,5,1,10000
42,5,2,10100
43,5,3,10200
44,5,4,10300
45,5,5,10400
46,5,6,10500
47,5,7,10600
48,5,8,10700
49,5,9,10800
50,5,10,11000
51,6,1,10000
52,6,2,10200
53,6,3,10400
54,6,4,10600
55,6,5,10800
56,6,6,11000
57,6,7,11200
58,6,8,11400
59,6,9,11600
60,6,10,11800
61,10,1,10000
62,10,2,10200
63,10,3,10400
64,10,4,10600
65,10,5,10800
66,10,6,11000
67,10,7,11200
68,10,8,11400
69,10,9,11600
70,10,10,11800
71,13,1,10000
72,13,2,10200
73,13,3,10400
74,13,4,10600
75,13,5,10800
76,13,6,11000
77,13,7,11200
78,13,8,11400
79,13,9,11600
80,13,10,11800
81,14,1,10000
82,14,2,10200
83,14,3,10400
84,14,4,10600
85,14,5,10800
86,14,6,11000
87,14,7,11200
88,14,8,11400
89,14,9,11600
90,14,10,11800
91,15,1,10000
92,15,2,10200
93,15,3,10400
94,15,4,10600
95,15,5,10800
96,15,6,11000
97,15,7,11200
98,15,8,11400
99,15,9,11600
100,15,10,11800
101,16,1,10000
102,16,2,10200
103,16,3,10400
104,16,4,10600
105,16,5,10800
106,16,6,11000
107,16,7,11200
108,16,8,11400
109,16,9,11600
110,16,10,11800
111,19,1,10000
112,19,2,10200
113,19,3,10400
114,19,4,10600
115,19,5,10800
116,19,6,11000
117,19,7,11200
118,19,8,11400
119,19,9,11600
120,19,10,11800
121,21,1,10000
122,21,2,10200
123,21,3,10400
124,21,4,10600
125,21,5,10800
126,21,6,11000
127,21,7,11200
128,21,8,11400
129,21,9,11600
130,21,10,11800
131,27,1,10000
132,27,2,10100
133,27,3,10400
134,27,4,10700
135,27,5,11000
136,27,6,11300
137,27,7,11600
138,27,8,11900
139,27,9,12200
140,27,10,12500
141,28,1,10000
142,28,2,10200
143,28,3,10400
144,28,4,10600
145,28,5,10800
146,28,6,11000
147,28,7,11200
148,28,8,11400
149,28,9,11600
150,28,10,11800
151,29,1,10000
152,29,2,10200
153,29,3,10400
154,29,4,10600
155,29,5,10800
156,29,6,11000
157,29,7,11200
158,29,8,11400
159,29,9,11600
160,29,10,11800
161,30,1,10000
162,30,2,10200
163,30,3,10400
164,30,4,10600
165,30,5,10800
166,30,6,11000
167,30,7,11200
168,30,8,11400
169,30,9,11600
170,30,10,11800
171,31,1,10000
172,31,2,10200
173,31,3,10400
174,31,4,10600
175,31,5,10800
176,31,6,11000
177,31,7,11250
178,31,8,11500
179,31,9,11750
180,31,10,12000
181,35,1,10000
182,35,2,10200
183,35,3,10400
184,35,4,10600
185,35,5,10800
186,35,6,11000
187,35,7,11200
188,35,8,11400
189,35,9,11600
190,35,10,11800
191,7,1,10000
192,7,2,10200
193,7,3,10400
194,7,4,10600
195,7,5,10800
196,7,6,11000
197,7,7,11200
198,7,8,11400
199,7,9,11600
200,7,10,11800
201,8,1,10000
202,8,2,10200
203,8,3,10400
204,8,4,10600
205,8,5,10800
206,8,6,11000
207,8,7,11200
208,8,8,11400
209,8,9,11600
210,8,10,11800
211,9,1,10000
212,9,2,10200
213,9,3,10400
214,9,4,10600
215,9,5,10800
216,9,6,11000
217,9,7,11200
218,9,8,11400
219,9,9,11600
220,9,10,11800
221,501,1,1000
222,501,2,3000
223,501,3,5000
224,501,4,7000
225,501,5,10000
226,502,1,1000
227,502,2,2000
228,502,3,3000
229,503,1,5000
230,503,2,7500
231,503,3,10000
232,22,1,10000
233,22,2,10200
234,22,3,10400
235,22,4,10600
236,22,5,10800
237,22,6,11000
238,22,7,11200
239,22,8,11400
240,22,9,11600
241,22,10,11800
242,37,1,10000
243,37,2,10000
244,37,3,10000
245,37,4,10000
246,37,5,10000
247,37,6,10000
248,37,7,10000
249,37,8,10000
250,37,9,10000
251,37,10,10000
252,36,1,10000
253,36,2,10000
254,36,3,10000
255,36,4,10000
256,36,5,10000
257,36,6,10000
258,36,7,10000
259,36,8,10000
260,36,9,10000
261,36,10,10000
262,32,1,10000
263,32,2,10100
264,32,3,10200
265,32,4,10300
266,32,5,10400
267,32,6,10500
268,32,7,10600
269,32,8,10700
270,32,9,10800
271,32,10,11000
