id,description_id,num,sub_num,timing_type,count_type
10010101,100101111,1,1,1,1
10010102,100101111,2,1,1,1
10010103,100101211,1,1,2,1
10010104,100101211,1,2,2,1
10010105,100101211,2,1,1,1
10010201,100102111,1,1,2,1
10010202,100102111,2,1,1,1
10010203,100102211,1,1,2,1
10010204,100102211,1,2,2,1
10010205,100102211,2,1,1,1
10010301,100103111,1,1,2,1
10010302,100103111,1,2,2,1
10010303,100103111,2,1,1,1
10010304,100103211,1,1,1,1
10010305,100103211,2,1,2,1
10020101,100201111,1,1,2,1
10020102,100201111,1,2,2,1
10020103,100201111,2,1,1,1
10020104,100201211,1,1,1,1
10020105,100201211,1,2,1,1
10030101,100301111,1,1,2,1
10030102,100301111,1,2,2,1
10030103,100301111,2,1,1,1
10030104,100301211,1,1,1,1
10030105,100301211,2,1,1,1
10030201,100302111,1,1,2,1
10030202,100302111,1,2,2,1
10030203,100302111,2,1,1,1
10030204,100302211,1,1,2,1
10030205,100302211,2,1,1,1
10040101,100401111,1,1,2,1
10040102,100401111,1,2,1,1
10040103,100401111,2,1,1,1
10040104,100401211,1,1,2,1
10040201,100402111,1,1,2,1
10040202,100402111,1,2,2,1
10040203,100402111,2,1,1,1
10040204,100402211,1,1,2,1
10040205,100402211,2,1,1,1
10050101,100501111,1,1,2,1
10050102,100501111,1,2,1,1
10050103,100501111,2,1,2,1
10050104,100501211,1,1,2,1
10050105,100501211,1,2,1,1
10050106,100501211,2,1,1,1
10050201,100502111,1,1,1,1
10050202,100502111,2,1,1,1
10050203,100502111,3,1,1,1
10050204,100502211,1,1,2,1
10050205,100502211,1,2,2,1
10050206,100502211,2,1,1,1
10060101,100601111,1,1,2,2
10060102,100601111,1,2,2,1
10060103,100601211,1,1,2,1
10060104,100601211,1,2,2,1
10060105,100601211,2,1,2,1
10060201,100602111,1,1,2,2
10060202,100602111,1,2,2,1
10060203,100602111,2,1,1,1
10060204,100602211,1,1,2,1
10060205,100602211,1,2,1,1
10060206,100602211,2,1,2,1
10070101,100701111,1,1,2,2
10070102,100701111,1,2,1,1
10070103,100701111,2,1,1,1
10070104,100701211,1,1,2,1
10070105,100701211,1,2,1,1
10070106,100701211,2,1,2,1
10070201,100702111,1,1,1,1
10070202,100702111,1,2,1,1
10070203,100702111,2,1,1,1
10070204,100702111,2,2,1,1
10070205,100702211,1,1,1,1
10070206,100702211,1,2,1,1
10070207,100702211,2,1,1,1
10080101,100801111,1,1,2,1
10080102,100801111,1,2,1,1
10080103,100801111,2,1,1,1
10080104,100801211,1,1,2,1
10080105,100801211,1,2,1,1
10080106,100801211,2,1,1,1
10080201,100802111,1,1,2,1
10080202,100802211,1,1,1,1
10080203,100802211,2,1,1,1
10090101,100901111,1,1,2,1
10090102,100901111,1,2,2,1
10090103,100901111,2,1,1,1
10090104,100901211,1,1,2,1
10090105,100901211,2,1,1,1
10090201,100902111,1,1,1,1
10090202,100902111,1,2,1,1
10090203,100902111,2,1,1,1
10090204,100902111,2,2,1,1
10090205,100902211,1,1,2,1
10090206,100902211,2,1,1,1
10100101,101001111,1,1,1,1
10100102,101001111,2,1,1,1
10100103,101001211,1,1,2,1
10100104,101001211,1,2,2,1
10100105,101001211,2,1,1,1
10100201,101002111,1,1,2,1
10100202,101002211,1,1,2,1
10100203,101002211,1,2,2,1
10100204,101002211,2,1,1,1
10110101,101101111,1,1,1,1
10110102,101101111,2,1,1,1
10110103,101101211,1,1,2,1
10110104,101101211,2,1,2,1
10110105,101101211,3,1,2,1
10110201,101102111,1,1,1,1
10110202,101102111,1,2,1,1
10110203,101102111,2,1,1,1
10110204,101102211,1,1,1,1
10110205,101102211,1,2,1,1
10110206,101102211,2,1,1,1
10120101,101201111,1,1,2,1
10120102,101201111,1,2,1,1
10120103,101201111,2,1,1,1
10120104,101201211,1,1,2,1
10130101,101301111,1,1,2,1
10130102,101301111,1,2,2,1
10130103,101301111,2,1,1,1
10130104,101301211,1,1,2,2
10130105,101301211,1,2,1,1
10130106,101301211,2,1,1,1
10130201,101302111,1,1,2,1
10130202,101302111,2,1,1,1
10130203,101302211,1,1,1,1
10130204,101302211,2,1,1,1
10130301,101303111,1,1,2,1
10130302,101303111,1,2,2,1
10130303,101303111,2,1,1,1
10130304,101303211,1,1,1,1
10130305,101303211,1,2,2,1
10130306,101303211,2,1,1,1
10140101,101401111,1,1,2,1
10140102,101401111,2,1,1,1
10140103,101401211,1,1,2,1
10140104,101401211,2,1,1,1
10140201,101402111,1,1,2,1
10140202,101402111,1,2,2,1
10140203,101402111,2,1,1,1
10140204,101402211,1,1,2,1
10140205,101402211,2,1,1,1
10150101,101501111,1,1,2,2
10150102,101501111,1,2,2,1
10150103,101501111,2,1,1,1
10150104,101501211,1,1,2,1
10150105,101501211,2,1,1,1
10150201,101502111,1,1,2,2
10150202,101502111,1,2,1,1
10150203,101502111,2,1,1,1
10150204,101502211,1,1,2,1
10150205,101502211,1,2,1,1
10150206,101502211,2,1,1,1
10160101,101601111,1,1,2,1
10160102,101601111,1,2,1,1
10160103,101601111,2,1,1,1
10160104,101601211,1,1,2,2
10160105,101601211,1,2,2,1
10160106,101601211,2,1,1,1
10160201,101602111,1,1,2,2
10160202,101602111,1,2,1,1
10160203,101602111,2,1,1,1
10160204,101602111,2,2,1,1
10160205,101602211,1,1,2,1
10160206,101602211,2,1,1,1
10160207,101602211,2,2,1,1
10170101,101701111,1,1,2,2
10170102,101701111,1,2,2,1
10170103,101701111,2,1,1,1
10170104,101701111,3,1,1,1
10170105,101701211,1,1,2,1
10170106,101701211,1,2,1,1
10170107,101701211,2,1,1,1
10170108,101701211,2,2,1,1
10170201,101702111,1,1,2,1
10170202,101702111,1,2,2,1
10170203,101702111,2,1,1,1
10170204,101702211,1,1,1,1
10170205,101702211,1,2,1,1
10170206,101702211,2,1,1,1
10180101,101801111,1,1,2,1
10180102,101801111,1,2,1,1
10180103,101801111,2,1,1,1
10180104,101801211,1,1,1,1
10180105,101801211,1,2,1,1
10180106,101801211,2,1,1,1
10180201,101802111,1,1,2,1
10180202,101802111,1,2,2,1
10180203,101802111,2,1,1,1
10180204,101802211,1,1,1,1
10180205,101802211,1,2,1,1
10180206,101802211,2,1,1,1
10190101,101901111,1,1,2,1
10190102,101901111,1,2,2,1
10190103,101901111,2,1,1,1
10190104,101901211,1,1,1,1
10190105,101901211,1,2,1,1
10190106,101901211,2,1,1,1
10190107,101901211,2,2,1,1
10190108,101901211,3,1,1,1
10190201,101902111,1,1,2,2
10190202,101902111,1,2,1,1
10190203,101902111,2,1,1,1
10190204,101902211,1,1,2,1
10190205,101902211,2,1,1,1
