id,card_id,rank,skill_id,start_date
100101111,100101,3,100101111,1677207600
100101211,100101,5,100101211,1677207600
100102111,100102,3,100102111,1677207600
100102211,100102,5,100102211,1677207600
100103111,100103,3,100103111,1677207600
100103211,100103,5,100103211,1677207600
100201111,100201,3,100201111,1677207600
100201211,100201,5,100201211,1677207600
100301111,100301,3,100301111,1677207600
100301211,100301,5,100301211,1677207600
100302111,100302,3,100302111,1677207600
100302211,100302,5,100302211,1677207600
100401111,100401,3,100401111,1677207600
100401211,100401,5,100401211,1677207600
100402111,100402,3,100402111,1677207600
100402211,100402,5,100402211,1677207600
100501111,100501,3,100501111,1677207600
100501211,100501,5,100501211,1677207600
100502111,100502,3,100502111,1677207600
100502211,100502,5,100502211,1677207600
100601111,100601,3,100601111,1677207600
100601211,100601,5,100601211,1677207600
100602111,100602,3,100602111,1677207600
100602211,100602,5,100602211,1677207600
100701111,100701,3,100701111,1677207600
100701211,100701,5,100701211,1677207600
100702111,100702,3,100702111,1677207600
100702211,100702,5,100702211,1677207600
100801111,100801,3,100801111,1677207600
100801211,100801,5,100801211,1677207600
100802111,100802,3,100802111,1677207600
100802211,100802,5,100802211,1677207600
100901111,100901,3,100901111,1677207600
100901211,100901,5,100901211,1677207600
100902111,100902,3,100902111,1677207600
100902211,100902,5,100902211,1677207600
101001111,101001,3,101001111,1677207600
101001211,101001,5,101001211,1677207600
101002111,101002,3,101002111,1677207600
101002211,101002,5,101002211,1677207600
101101111,101101,3,101101111,1677207600
101101211,101101,5,101101211,1677207600
101102111,101102,3,101102111,1677207600
101102211,101102,5,101102211,1677207600
101201111,101201,3,101201111,1677207600
101201211,101201,5,101201211,1677207600
101301111,101301,3,101301111,1677207600
101301211,101301,5,101301211,1677207600
101302111,101302,3,101302111,1677207600
101302211,101302,5,101302211,1677207600
101303111,101303,3,101303111,1677207600
101303211,101303,5,101303211,1677207600
101401111,101401,3,101401111,1677207600
101401211,101401,5,101401211,1677207600
101402111,101402,3,101402111,1677207600
101402211,101402,5,101402211,1677207600
101501111,101501,3,101501111,1677207600
101501211,101501,5,101501211,1677207600
101502111,101502,3,101502111,1677207600
101502211,101502,5,101502211,1677207600
101601111,101601,3,101601111,1677207600
101601211,101601,5,101601211,1677207600
101602111,101602,3,101602111,1677207600
101602211,101602,5,101602211,1677207600
101701111,101701,3,101701111,1677207600
101701211,101701,5,101701211,1677207600
101702111,101702,3,101702111,1677207600
101702211,101702,5,101702211,1677207600
101801111,101801,3,101801111,1677207600
101801211,101801,5,101801211,1677207600
101802111,101802,3,101802111,1677207600
101802211,101802,5,101802211,1677207600
101901111,101901,3,101901111,1677207600
101901211,101901,5,101901211,1677207600
101902111,101902,3,101902111,1677207600
101902211,101902,5,101902211,1677207600
102001111,102001,3,102001111,1677207600
102001211,102001,5,102001211,1677207600
102002111,102002,3,102002111,1677207600
102002211,102002,5,102002211,1677207600
102101111,102101,3,102101111,1677207600
