tbl,idx,stat
team_stadium_bgm,team_stadium_bgm_0_scene_type,11 2
team_stadium_class,team_stadium_class_0_team_stadium_id,6 6
trained_chara_trade_item,trained_chara_trade_item_0_trained_chara_rank,98 1
topics,topics_0_type,391 131
main_story_race_chara_data,main_story_race_chara_data_0_running_style,320 64
main_story_race_chara_data,main_story_race_chara_data_0_group_id,320 12
single_mode_live_song_list,single_mode_live_song_list_0_live_id,24 1
single_mode_live_song_list,single_mode_live_song_list_0_command_id,24 2
team_building_scout_point,team_building_scout_point_0_chara_rank,98 1
team_building_collection_set,team_building_collection_set_0_team_building_event_id,8 4
campaign_walking_chara,campaign_walking_chara_0_chara_id_1_campaign_id,137 2 1
campaign_walking_chara,campaign_walking_chara_0_chara_id,137 2
campaign_walking_chara,sqlite_autoindex_campaign_walking_chara_1,137 69 1
team_stadium_race_result_motion,team_stadium_race_result_motion_0_character_id,88 1
single_mode_route_condition,single_mode_route_condition_0_condition_set_id,16 2
fan_raid_top_chara,fan_raid_top_chara_0_top_data_id,10 3
single_mode_special_chara,single_mode_special_chara_0_scenario_id_1_chara_id,11 4 1
single_mode_special_chara,single_mode_special_chara_0_scenario_id,11 4
crane_game_catch_result,sqlite_autoindex_crane_game_catch_result_1,68 3 1
name_card_bg,,150
training_cutt_chara_data,training_cutt_chara_data_0_command_id_1_sub_id,345 17 17
story_event_top_chara,story_event_top_chara_0_story_event_id,279 13
single_mode_wins_saddle,,181
story_hip_offset,sqlite_autoindex_story_hip_offset_1,133 27 1
single_mode_free_training_plate,single_mode_free_training_plate_0_condition_type,3 3
single_mode_scenario_record,single_mode_scenario_record_0_scenario_id,45 9
succession_relation_rank,,3
campaign_n_present_bonus_data,campaign_n_present_bonus_data_0_target_type_1_card_id,116 116 1
campaign_n_present_bonus_data,campaign_n_present_bonus_data_0_card_id,116 1
crane_game_define_param,,1
single_mode_venus_spirit_effect,single_mode_venus_spirit_effect_0_spirit_effect_group_id,83 2
single_mode_recommend_setting,single_mode_recommend_setting_0_recommend_course_id,3 1
single_mode_analyze_ticket,single_mode_analyze_ticket_0_grade,7 1
campaign_single_race_add_reward,campaign_single_race_add_reward_0_race_additional_reward_id,129 3
audience_dress_color_set,,78
mob_data,,824
race_jikkyo_cue,race_jikkyo_cue_0_cuesheet_type,1894 947
