id,story_event_id,nickname_rank,bonus_point
1,1001,1,10
2,1001,2,30
3,1001,3,50
4,1002,1,10
5,1002,2,30
6,1002,3,50
7,1003,1,10
8,1003,2,30
9,1003,3,50
10,1004,1,10
11,1004,2,30
12,1004,3,50
13,1005,1,10
14,1005,2,30
15,1005,3,50
16,1006,1,10
17,1006,2,30
18,1006,3,50
19,1007,1,10
20,1007,2,30
21,1007,3,50
22,1008,1,10
23,1008,2,30
24,1008,3,50
25,1009,1,10
26,1009,2,30
27,1009,3,50
28,1010,1,10
29,1010,2,30
30,1010,3,50
31,1011,1,10
32,1011,2,30
33,1011,3,50
34,1012,1,10
35,1012,2,30
36,1012,3,50
37,1013,1,10
38,1013,2,30
39,1013,3,50
40,1014,1,10
41,1014,2,30
42,1014,3,50
43,1015,1,10
44,1015,2,30
45,1015,3,50
46,1016,1,10
47,1016,2,30
48,1016,3,50
49,1017,1,10
50,1017,2,30
51,1017,3,50
52,1018,1,10
53,1018,2,30
54,1018,3,50
55,1019,1,10
56,1019,2,30
57,1019,3,50
58,1020,1,10
59,1020,2,30
60,1020,3,50
61,1021,1,10
62,1021,2,30
63,1021,3,50
64,1022,1,10
65,1022,2,30
66,1022,3,50
67,1023,1,10
68,1023,2,30
69,1023,3,50
