id,relation_type,chara_id
1,101,1024
2,101,1044
3,101,1051
5,102,1029
6,102,1047
7,102,1003
8,102,1008
9,102,1009
10,102,1013
11,102,1019
12,102,1038
14,103,1011
15,103,1014
16,103,1020
17,103,1052
18,103,1001
19,103,1015
20,103,1028
21,103,1039
22,103,1058
23,103,1060
24,103,1061
25,104,1010
26,104,1025
27,104,1030
28,104,1041
29,104,1049
30,104,1059
31,104,1002
32,104,1022
33,104,1026
34,104,1032
35,104,1036
36,104,1040
37,104,1048
38,104,1056
39,105,1012
40,105,1027
41,105,1031
42,105,1043
43,105,1005
44,105,1007
45,105,1016
46,105,1018
47,105,1023
48,105,1033
49,105,1035
50,105,1037
51,105,1046
52,105,1050
53,105,1053
54,106,1004
55,106,1017
56,106,1034
57,106,1006
58,106,1021
59,106,1042
60,106,1045
62,201,1010
63,201,1011
64,201,1012
65,201,1014
66,201,1017
67,201,1020
68,201,1025
69,201,1027
70,201,1029
71,201,1030
72,201,1031
73,201,1034
74,201,1041
75,201,1043
76,201,1047
77,201,1049
78,205,1057
79,201,1059
80,202,1001
81,202,1002
82,202,1003
83,202,1005
84,202,1006
85,202,1007
86,202,1008
87,202,1009
88,202,1013
89,202,1015
90,202,1016
91,202,1018
92,202,1019
93,202,1021
94,202,1022
95,202,1023
96,202,1024
97,202,1026
98,202,1028
99,202,1032
100,202,1033
101,202,1035
102,202,1036
103,202,1037
104,202,1038
105,202,1039
106,202,1040
107,202,1042
108,202,1044
109,202,1045
110,202,1046
111,202,1048
112,202,1050
113,202,1051
114,202,1053
117,202,1056
118,202,1058
119,202,1060
120,202,1061
121,203,1004
122,202,1052
123,301,1001
124,301,1002
125,302,1006
126,302,1021
127,303,1008
128,303,1009
129,304,1010
130,304,1059
131,305,1011
132,305,1014
133,306,1015
134,306,1023
135,307,1018
136,307,1022
137,308,1024
138,308,1003
139,309,1025
140,309,1029
141,310,1026
142,310,1051
143,311,1027
144,311,1031
145,312,1028
147,313,1030
148,313,1047
149,314,1032
150,314,1019
151,315,1033
152,315,1038
153,316,1035
154,316,1048
155,317,1036
156,317,1058
157,318,1037
158,318,1046
159,319,1039
160,319,1042
161,320,1040
162,320,1053
163,321,1045
164,321,1050
165,322,1052
166,322,1061
168,323,1060
169,401,1001
170,401,1011
171,401,1014
172,401,1020
173,401,1061
174,402,1002
176,402,1010
177,402,1056
178,403,1003
179,403,1008
180,403,1009
181,403,1013
182,404,1023
183,404,1050
184,404,1035
185,501,1017
186,501,1018
187,501,1016
188,502,1001
189,502,1011
190,502,1014
191,502,1020
192,503,1013
