id,rental_rank,rental_num,use_value1,use_value2
1,1,1,20,10
2,1,2,20,10
3,1,3,20,10
4,1,4,20,10
5,1,5,20,10
6,2,1,50,30
7,2,2,50,30
8,2,3,50,30
9,2,4,50,30
10,2,5,50,30
11,3,1,100,60
12,3,2,100,60
13,3,3,100,60
14,3,4,100,60
15,3,5,100,60
16,4,1,170,100
17,4,2,170,100
18,4,3,170,100
19,4,4,170,100
20,4,5,170,100
21,5,1,260,150
22,5,2,260,150
23,5,3,260,150
24,5,4,260,150
25,5,5,260,150
26,6,1,380,220
27,6,2,380,220
28,6,3,380,220
29,6,4,380,220
30,6,5,380,220
31,7,1,530,310
32,7,2,530,310
33,7,3,530,310
34,7,4,530,310
35,7,5,530,310
36,8,1,710,410
37,8,2,710,410
38,8,3,710,410
39,8,4,710,410
40,8,5,710,410
41,9,1,920,520
42,9,2,920,520
43,9,3,920,520
44,9,4,920,520
45,9,5,920,520
46,10,1,1170,660
47,10,2,1170,660
48,10,3,1170,660
49,10,4,1170,660
50,10,5,1170,660
51,11,1,1460,820
52,11,2,1460,820
53,11,3,1460,820
54,11,4,1460,820
55,11,5,1460,820
56,12,1,1790,1000
57,12,2,1790,1000
58,12,3,1790,1000
59,12,4,1790,1000
60,12,5,1790,1000
61,13,1,2480,1380
62,13,2,2480,1380
63,13,3,2480,1380
64,13,4,2480,1380
65,13,5,2480,1380
66,14,1,3370,1860
67,14,2,3370,1860
68,14,3,3370,1860
69,14,4,3370,1860
70,14,5,3370,1860
71,15,1,4940,2720
72,15,2,4940,2720
73,15,3,4940,2720
74,15,4,4940,2720
75,15,5,4940,2720
76,16,1,7100,3880
77,16,2,7100,3880
78,16,3,7100,3880
79,16,4,7100,3880
80,16,5,7100,3880
81,17,1,10020,5440
82,17,2,10020,5440
83,17,3,10020,5440
84,17,4,10020,5440
85,17,5,10020,5440
86,18,1,13920,7520
87,18,2,13920,7520
88,18,3,13920,7520
89,18,4,13920,7520
90,18,5,13920,7520
91,19,1,14650,7860
92,19,2,14650,7860
93,19,3,14650,7860
94,19,4,14650,7860
95,19,5,14650,7860
96,20,1,15240,8130
97,20,2,15240,8130
98,20,3,15240,8130
99,20,4,15240,8130
100,20,5,15240,8130
101,21,1,15820,8380
102,21,2,15820,8380
103,21,3,15820,8380
104,21,4,15820,8380
105,21,5,15820,8380
106,22,1,16400,8640
107,22,2,16400,8640
108,22,3,16400,8640
109,22,4,16400,8640
110,22,5,16400,8640
111,23,1,16970,8880
112,23,2,16970,8880
113,23,3,16970,8880
114,23,4,16970,8880
115,23,5,16970,8880
116,24,1,17540,9120
117,24,2,17540,9120
118,24,3,17540,9120
119,24,4,17540,9120
120,24,5,17540,9120
121,25,1,18100,9350
122,25,2,18100,9350
123,25,3,18100,9350
124,25,4,18100,9350
125,25,5,18100,9350
126,26,1,18660,9580
127,26,2,18660,9580
128,26,3,18660,9580
129,26,4,18660,9580
130,26,5,18660,9580
131,27,1,19210,9800
132,27,2,19210,9800
133,27,3,19210,9800
134,27,4,19210,9800
135,27,5,19210,9800
136,28,1,19760,10010
137,28,2,19760,10010
138,28,3,19760,10010
139,28,4,19760,10010
140,28,5,19760,10010
141,29,1,20310,10220
142,29,2,20310,10220
143,29,3,20310,10220
144,29,4,20310,10220
145,29,5,20310,10220
146,30,1,20850,10430
147,30,2,20850,10430
148,30,3,20850,10430
149,30,4,20850,10430
150,30,5,20850,10430
151,31,1,21390,10620
152,31,2,21390,10620
153,31,3,21390,10620
154,31,4,21390,10620
155,31,5,21390,10620
156,32,1,21920,10810
157,32,2,21920,10810
158,32,3,21920,10810
159,32,4,21920,10810
160,32,5,21920,10810
161,33,1,22450,11000
162,33,2,22450,11000
163,33,3,22450,11000
164,33,4,22450,11000
165,33,5,22450,11000
166,34,1,22980,11180
167,34,2,22980,11180
168,34,3,22980,11180
169,34,4,22980,11180
170,34,5,22980,11180
171,35,1,23510,11360
172,35,2,23510,11360
173,35,3,23510,11360
174,35,4,23510,11360
175,35,5,23510,11360
176,36,1,24030,11530
177,36,2,24030,11530
178,36,3,24030,11530
179,36,4,24030,11530
180,36,5,24030,11530
181,37,1,24550,11700
182,37,2,24550,11700
183,37,3,24550,11700
184,37,4,24550,11700
185,37,5,24550,11700
186,38,1,25070,11870
187,38,2,25070,11870
188,38,3,25070,11870
189,38,4,25070,11870
190,38,5,25070,11870
191,39,1,25580,12020
192,39,2,25580,12020
193,39,3,25580,12020
194,39,4,25580,12020
195,39,5,25580,12020
196,40,1,26090,12180
197,40,2,26090,12180
198,40,3,26090,12180
199,40,4,26090,12180
200,40,5,26090,12180
201,41,1,26600,12320
202,41,2,26600,12320
203,41,3,26600,12320
204,41,4,26600,12320
205,41,5,26600,12320
206,42,1,27110,12470
207,42,2,27110,12470
208,42,3,27110,12470
209,42,4,27110,12470
210,42,5,27110,12470
211,43,1,27610,12610
212,43,2,27610,12610
213,43,3,27610,12610
214,43,4,27610,12610
215,43,5,27610,12610
216,44,1,28110,12740
217,44,2,28110,12740
218,44,3,28110,12740
219,44,4,28110,12740
220,44,5,28110,12740
221,45,1,28610,12870
222,45,2,28610,12870
223,45,3,28610,12870
224,45,4,28610,12870
225,45,5,28610,12870
226,46,1,29110,13000
227,46,2,29110,13000
228,46,3,29110,13000
229,46,4,29110,13000
230,46,5,29110,13000
231,47,1,29610,13130
232,47,2,29610,13130
233,47,3,29610,13130
234,47,4,29610,13130
235,47,5,29610,13130
236,48,1,30100,13240
237,48,2,30100,13240
238,48,3,30100,13240
239,48,4,30100,13240
240,48,5,30100,13240
241,49,1,30590,13360
242,49,2,30590,13360
243,49,3,30590,13360
244,49,4,30590,13360
245,49,5,30590,13360
246,50,1,31080,13470
247,50,2,31080,13470
248,50,3,31080,13470
249,50,4,31080,13470
250,50,5,31080,13470
251,51,1,31570,13580
252,51,2,31570,13580
253,51,3,31570,13580
254,51,4,31570,13580
255,51,5,31570,13580
256,52,1,32060,13680
257,52,2,32060,13680
258,52,3,32060,13680
259,52,4,32060,13680
260,52,5,32060,13680
261,53,1,32540,13780
262,53,2,32540,13780
263,53,3,32540,13780
264,53,4,32540,13780
265,53,5,32540,13780
266,54,1,33020,13870
267,54,2,33020,13870
268,54,3,33020,13870
269,54,4,33020,13870
270,54,5,33020,13870
271,55,1,33500,13960
272,55,2,33500,13960
273,55,3,33500,13960
274,55,4,33500,13960
275,55,5,33500,13960
276,56,1,33980,14050
277,56,2,33980,14050
278,56,3,33980,14050
279,56,4,33980,14050
280,56,5,33980,14050
281,57,1,34460,14130
282,57,2,34460,14130
283,57,3,34460,14130
284,57,4,34460,14130
285,57,5,34460,14130
286,58,1,34940,14210
287,58,2,34940,14210
288,58,3,34940,14210
289,58,4,34940,14210
290,58,5,34940,14210
291,59,1,35410,14280
292,59,2,35410,14280
293,59,3,35410,14280
294,59,4,35410,14280
295,59,5,35410,14280
296,60,1,35880,14350
297,60,2,35880,14350
298,60,3,35880,14350
299,60,4,35880,14350
300,60,5,35880,14350
301,61,1,36350,14420
302,61,2,36350,14420
303,61,3,36350,14420
304,61,4,36350,14420
305,61,5,36350,14420
306,62,1,36820,14480
307,62,2,36820,14480
308,62,3,36820,14480
309,62,4,36820,14480
310,62,5,36820,14480
311,63,1,37290,14540
312,63,2,37290,14540
313,63,3,37290,14540
314,63,4,37290,14540
315,63,5,37290,14540
316,64,1,37760,14600
317,64,2,37760,14600
318,64,3,37760,14600
319,64,4,37760,14600
320,64,5,37760,14600
321,65,1,38220,14650
322,65,2,38220,14650
323,65,3,38220,14650
324,65,4,38220,14650
325,65,5,38220,14650
326,66,1,38680,14700
327,66,2,38680,14700
328,66,3,38680,14700
329,66,4,38680,14700
330,66,5,38680,14700
331,67,1,39140,14740
332,67,2,39140,14740
333,67,3,39140,14740
334,67,4,39140,14740
335,67,5,39140,14740
336,68,1,39600,14780
337,68,2,39600,14780
338,68,3,39600,14780
339,68,4,39600,14780
340,68,5,39600,14780
341,69,1,40060,14820
342,69,2,40060,14820
343,69,3,40060,14820
344,69,4,40060,14820
345,69,5,40060,14820
346,70,1,40520,14860
347,70,2,40520,14860
348,70,3,40520,14860
349,70,4,40520,14860
350,70,5,40520,14860
351,71,1,40980,14890
352,71,2,40980,14890
353,71,3,40980,14890
354,71,4,40980,14890
355,71,5,40980,14890
356,72,1,41440,14920
357,72,2,41440,14920
358,72,3,41440,14920
359,72,4,41440,14920
360,72,5,41440,14920
361,73,1,41890,14940
362,73,2,41890,14940
363,73,3,41890,14940
364,73,4,41890,14940
365,73,5,41890,14940
366,74,1,42340,14960
367,74,2,42340,14960
368,74,3,42340,14960
369,74,4,42340,14960
370,74,5,42340,14960
371,75,1,42790,14980
372,75,2,42790,14980
373,75,3,42790,14980
374,75,4,42790,14980
375,75,5,42790,14980
376,76,1,43240,14990
377,76,2,43240,14990
378,76,3,43240,14990
379,76,4,43240,14990
380,76,5,43240,14990
381,77,1,43690,15000
382,77,2,43690,15000
383,77,3,43690,15000
384,77,4,43690,15000
385,77,5,43690,15000
386,78,1,44140,15010
387,78,2,44140,15010
388,78,3,44140,15010
389,78,4,44140,15010
390,78,5,44140,15010
391,79,1,44590,15030
392,79,2,44590,15030
393,79,3,44590,15030
394,79,4,44590,15030
395,79,5,44590,15030
396,80,1,45040,15050
397,80,2,45040,15050
398,80,3,45040,15050
399,80,4,45040,15050
400,80,5,45040,15050
401,81,1,45480,15070
402,81,2,45480,15070
403,81,3,45480,15070
404,81,4,45480,15070
405,81,5,45480,15070
406,82,1,45920,15090
407,82,2,45920,15090
408,82,3,45920,15090
409,82,4,45920,15090
410,82,5,45920,15090
411,83,1,46360,15110
