type,group_id,sort_id,start_date
1,1,10,1614092400
2,1,20,1614092400
3,1,80,1614092400
4,1,90,1614092400
5,1,100,1614092400
6,1,110,1614092400
7,1,120,1614092400
8,1,30,1614092400
9,2,10,1614092400
10,2,20,1614092400
11,2,30,1614092400
12,2,40,1614092400
13,2,50,1614092400
14,2,60,1614092400
15,3,10,1614092400
16,3,20,1614092400
17,4,10,1614092400
18,4,20,1614092400
19,1,40,1614092400
25,4,30,1614092400
26,4,40,1614092400
27,1,50,1614092400
28,1,60,1614092400
30,1,130,1614092400
31,1,70,1614092400
