id,rarity,level,total_exp
1001,1,1,0
1002,1,2,5
1003,1,3,15
1004,1,4,30
1005,1,5,50
1006,1,6,80
1007,1,7,120
1008,1,8,170
1009,1,9,230
1010,1,10,310
1011,1,11,410
1012,1,12,530
1013,1,13,680
1014,1,14,860
1015,1,15,1080
1016,1,16,1340
1017,1,17,1650
1018,1,18,2010
1019,1,19,2430
1020,1,20,2910
1021,1,21,3460
1022,1,22,4090
1023,1,23,4810
1024,1,24,5630
1025,1,25,6560
1026,1,26,7610
1027,1,27,8790
1028,1,28,10110
1029,1,29,11580
1030,1,30,13210
1031,1,31,15010
1032,1,32,16990
1033,1,33,19160
1034,1,34,21530
1035,1,35,24110
1036,1,36,26910
1037,1,37,29940
1038,1,38,33210
1039,1,39,36730
1040,1,40,40510
2001,2,1,0
2002,2,2,10
2003,2,3,30
2004,2,4,60
2005,2,5,110
2006,2,6,180
2007,2,7,270
2008,2,8,390
2009,2,9,540
2010,2,10,720
2011,2,11,940
2012,2,12,1200
2013,2,13,1510
2014,2,14,1870
2015,2,15,2290
2016,2,16,2770
2017,2,17,3320
2018,2,18,3940
2019,2,19,4640
2020,2,20,5420
2021,2,21,6290
2022,2,22,7250
2023,2,23,8310
2024,2,24,9470
2025,2,25,10740
2026,2,26,12130
2027,2,27,13650
2028,2,28,15310
2029,2,29,17120
2030,2,30,19090
2031,2,31,21230
2032,2,32,23550
2033,2,33,26060
2034,2,34,28770
2035,2,35,31690
2036,2,36,34830
2037,2,37,38200
2038,2,38,41810
2039,2,39,45670
2040,2,40,49790
2041,2,41,54190
2042,2,42,58890
2043,2,43,63910
2044,2,44,69270
2045,2,45,74990
3001,3,1,0
3002,3,2,15
3003,3,3,45
3004,3,4,95
3005,3,5,165
3006,3,6,265
3007,3,7,395
3008,3,8,565
3009,3,9,775
3010,3,10,1035
3011,3,11,1345
3012,3,12,1715
3013,3,13,2145
3014,3,14,2645
3015,3,15,3215
3016,3,16,3865
3017,3,17,4595
3018,3,18,5415
3019,3,19,6325
3020,3,20,7335
3021,3,21,8445
3022,3,22,9665
3023,3,23,10995
3024,3,24,12445
3025,3,25,14015
3026,3,26,15715
3027,3,27,17545
3028,3,28,19515
3029,3,29,21625
3030,3,30,23885
3031,3,31,26305
3032,3,32,28895
3033,3,33,31665
3034,3,34,34625
3035,3,35,37785
3036,3,36,41155
3037,3,37,44745
3038,3,38,48565
3039,3,39,52625
3040,3,40,56935
3041,3,41,61515
3042,3,42,66385
3043,3,43,71565
3044,3,44,77075
3045,3,45,82935
3046,3,46,89165
3047,3,47,95785
3048,3,48,102815
3049,3,49,110275
3050,3,50,118185
