id,lv,type_0,value_0,value_0_1,value_0_2,value_0_3,value_0_4,type_1,value_1,value_1_1,value_1_2,value_1_3,value_1_4
20001,25,30,1,0,0,0,0,13,20,0,0,0,0
20002,25,2,15,0,0,0,0,14,15,0,0,0,0
20003,25,1,10,0,0,0,0,15,5,0,0,0,0
20004,25,2,15,0,0,0,0,15,5,0,0,0,0
20005,25,1,10,0,0,0,0,11,20,0,0,0,0
20006,25,8,5,0,0,0,0,18,20,0,0,0,0
20007,25,1,10,0,0,0,0,19,20,0,0,0,0
20008,25,8,5,0,0,0,0,19,20,0,0,0,0
20009,25,1,10,0,0,0,0,18,20,0,0,0,0
20010,25,2,15,0,0,0,0,15,5,0,0,0,0
20011,25,6,1,0,0,0,0,12,20,0,0,0,0
20012,25,30,1,0,0,0,0,18,20,0,0,0,0
20013,25,2,15,0,0,0,0,15,5,0,0,0,0
20014,25,2,15,0,0,0,0,19,20,0,0,0,0
20015,25,2,15,0,0,0,0,13,20,0,0,0,0
20016,25,1,10,0,0,0,0,14,15,0,0,0,0
20017,25,8,5,0,0,0,0,18,20,0,0,0,0
20018,25,8,5,0,0,0,0,13,20,0,0,0,0
20019,25,2,15,0,0,0,0,12,20,0,0,0,0
20020,25,3,1,0,0,0,0,9,20,0,0,0,0
20021,25,27,10,0,0,0,0,28,5,0,0,0,0
20022,25,30,1,0,0,0,0,12,20,0,0,0,0
20023,25,8,5,0,0,0,0,18,20,0,0,0,0
20024,25,2,15,0,0,0,0,19,20,0,0,0,0
20025,25,7,1,0,0,0,0,19,20,0,0,0,0
20026,35,8,5,0,0,0,0,13,20,0,0,0,0
20027,25,2,15,0,0,0,0,15,5,0,0,0,0
20028,25,1,10,0,0,0,0,10,20,0,0,0,0
20029,25,1,10,0,0,0,0,14,15,0,0,0,0
20030,25,2,15,0,0,0,0,15,5,0,0,0,0
20031,25,1,10,0,0,0,0,14,15,0,0,0,0
20032,25,1,10,0,0,0,0,4,1,0,0,0,0
20033,25,3,1,0,0,0,0,19,20,0,0,0,0
20034,25,2,15,0,0,0,0,18,20,0,0,0,0
20035,25,2,15,0,0,0,0,15,5,0,0,0,0
20037,25,5,1,0,0,0,0,14,15,0,0,0,0
20038,25,8,5,0,0,0,0,9,20,0,0,0,0
20039,25,8,5,0,0,0,0,18,20,0,0,0,0
20040,25,1,10,0,0,0,0,6,1,0,0,0,0
20041,25,3,1,0,0,0,0,15,5,0,0,0,0
20042,25,1,10,0,0,0,0,19,20,0,0,0,0
20043,35,8,5,0,0,0,0,11,20,0,0,0,0
20044,25,1,10,0,0,0,0,15,5,0,0,0,0
20045,35,8,5,0,0,0,0,11,20,0,0,0,0
20046,25,8,5,0,0,0,0,13,20,0,0,0,0
20047,25,10,20,0,0,0,0,12,20,0,0,0,0
20048,25,5,1,0,0,0,0,15,5,0,0,0,0
20049,25,3,1,0,0,0,0,13,20,0,0,0,0
20050,25,8,5,0,0,0,0,15,5,0,0,0,0
20051,25,1,10,0,0,0,0,30,1,0,0,0,0
20052,25,6,1,0,0,0,0,8,5,0,0,0,0
20053,25,1,10,0,0,0,0,15,5,0,0,0,0
20054,25,1,10,0,0,0,0,4,1,0,0,0,0
20055,25,1,10,0,0,0,0,3,1,0,0,0,0
20056,25,1,10,0,0,0,0,30,1,0,0,0,0
