id,chara_rank,scout_value
1,1,0
2,2,5
3,3,10
4,4,15
5,5,20
6,6,25
7,7,50
8,8,100
9,9,150
10,10,200
11,11,300
12,12,400
13,13,500
14,14,600
15,15,800
16,16,1000
17,17,1200
18,18,1400
19,19,1600
20,20,1800
21,21,2000
22,22,2100
23,23,2200
24,24,2300
25,25,2400
26,26,2500
27,27,2600
28,28,2700
29,29,3000
30,30,3200
31,31,3200
32,32,3400
33,33,3400
34,34,3600
35,35,3600
36,36,3800
37,37,3800
38,38,4000
39,39,4500
40,40,4500
41,41,4500
42,42,4500
43,43,4500
44,44,4500
45,45,4500
46,46,4500
47,47,4500
48,48,4500
49,49,4500
50,50,4500
51,51,4500
52,52,4500
53,53,4500
54,54,4500
55,55,4500
56,56,4500
57,57,4500
58,58,4500
59,59,4500
60,60,4500
61,61,4500
62,62,4500
63,63,4500
64,64,4500
65,65,4500
66,66,4500
67,67,4500
68,68,4500
69,69,4500
70,70,4500
71,71,4500
72,72,4500
73,73,4500
74,74,4500
75,75,4500
76,76,4500
77,77,4500
78,78,4500
79,79,4500
80,80,4500
81,81,4500
82,82,4500
83,83,4500
84,84,4500
85,85,4500
86,86,4500
87,87,4500
88,88,4500
89,89,4500
90,90,4500
91,91,4500
92,92,4500
93,93,4500
94,94,4500
95,95,4500
96,96,4500
97,97,4500
98,98,4500
