id,scene_type,priority,cue_name,cuesheet_name
1,1,100,snd_bgm_CS007_team,snd_bgm_CS007
2,1,100,snd_bgm_CS008_team,snd_bgm_CS008
3,1,100,snd_bgm_CS009_team,snd_bgm_CS009
4,1,100,snd_bgm_CS010_team,snd_bgm_CS010
5,1,100,snd_bgm_CS011_team,snd_bgm_CS011
6,2,100,snd_bgm_GM037_result,snd_bgm_GM037
7,3,100,snd_bgm_GM061_result,snd_bgm_GM061
8,4,100,snd_bgm_GM036_result,snd_bgm_GM036
9,5,100,snd_bgm_GM037_loop,snd_bgm_GM037
10,6,100,snd_bgm_GM061_loop,snd_bgm_GM061
11,7,100,snd_bgm_GM036_loop,snd_bgm_GM036
