id,priority,condition_type,condition_value_1,condition_value_2,score,race_score_name_id,sort_order
1,1,1,20,0,3000,0,13
2,1,1,19,0,2600,0,13
3,1,1,18,0,2500,0,13
4,1,1,17,0,2400,0,13
5,1,1,16,0,2300,0,13
6,1,1,15,0,2200,0,13
7,1,1,14,0,2100,0,13
8,1,1,13,0,2000,0,13
9,1,1,12,0,1900,0,13
10,1,1,11,0,1800,0,13
11,1,1,10,0,1700,0,13
12,1,1,9,0,1600,0,13
13,1,1,8,0,1500,0,13
14,1,1,7,0,1400,0,13
15,1,1,6,0,1300,0,13
16,1,1,5,0,1200,0,13
17,1,1,4,0,1100,0,13
18,1,1,3,0,1000,0,13
19,1,1,0,0,5000,0,13
20,1,1,1,0,3000,0,13
21,1,1,2,0,2000,0,13
22,1,2,3,8,4000,0,14
23,1,5,0,0,-500,0,22
24,1,6,0,0,-100,0,23
25,1,7,1,0,1000,1,16
26,1,8,3,10,2500,2,17
27,1,8,3,9,2400,2,17
28,1,8,3,8,2300,2,17
29,1,8,3,7,2200,2,17
30,1,8,3,6,2100,2,17
31,1,8,3,5,2000,2,17
32,1,8,3,4,1900,2,17
33,1,8,3,3,1800,2,17
34,1,8,3,2,1700,2,17
35,1,8,3,1,1500,2,17
36,1,8,4,10,3000,2,17
37,1,8,4,9,2900,2,17
38,1,8,4,8,2800,2,17
39,1,8,4,7,2700,2,17
40,1,8,4,6,2600,2,17
41,1,8,4,5,2500,2,17
42,1,8,4,4,2400,2,17
43,1,8,4,3,2300,2,17
44,1,8,4,2,2200,2,17
45,1,8,4,1,2000,2,17
46,1,8,5,10,3000,2,17
47,1,8,5,9,2900,2,17
48,1,8,5,8,2800,2,17
49,1,8,5,7,2700,2,17
50,1,8,5,6,2600,2,17
51,1,8,5,5,2500,2,17
52,1,8,5,4,2400,2,17
53,1,8,5,3,2300,2,17
54,1,8,5,2,2200,2,17
55,1,8,5,1,2000,2,17
56,1,8,2,0,1200,2,18
57,1,8,1,0,500,2,19
58,1,9,1,0,1000,3,20
59,1,9,2,0,1000,3,21
60,1,3,1,0,10000,0,1
61,1,3,2,0,8000,0,2
62,1,3,3,0,7000,0,3
63,1,3,4,0,6000,0,4
64,1,3,5,0,5000,0,5
65,1,3,6,0,4000,0,6
66,1,3,7,0,4000,0,7
67,1,3,8,0,3000,0,8
68,1,3,9,0,3000,0,9
69,1,3,10,0,2000,0,10
70,1,3,11,0,2000,0,11
71,1,3,12,0,2000,0,12
72,1,4,20,99999999,2000,0,15
73,1,4,19,20,1900,0,15
74,1,4,18,19,1800,0,15
75,1,4,17,18,1700,0,15
76,1,4,16,17,1600,0,15
77,1,4,15,16,1500,0,15
78,1,4,14,15,1400,0,15
79,1,4,13,14,1300,0,15
80,1,4,12,13,1200,0,15
81,1,4,11,12,1100,0,15
82,1,4,10,11,1000,0,15
83,1,4,9,10,900,0,15
84,1,4,8,9,800,0,15
85,1,4,7,8,700,0,15
86,1,4,6,7,600,0,15
87,1,4,5,6,500,0,15
88,1,4,4,5,400,0,15
89,1,4,3,4,300,0,15
90,1,4,2,3,200,0,15
91,1,4,1,2,100,0,15
93,2,10,1,1,10000,0,1000
94,1,11,3,3,5000,102,100
95,2,11,3,5,4000,100,100
96,3,11,2,2,3000,101,100
97,1,8,6,0,1200,2,18
