id,type,value,index,start_date
1,1,1001,1,2017-01-01 00:00:00
2,1,1002,1,2017-01-01 00:00:00
3,1,1003,1,2017-01-01 00:00:00
4,1,1004,1,2017-01-01 00:00:00
5,1,1005,1,2017-01-01 00:00:00
6,1,1006,1,2017-01-01 00:00:00
7,1,1007,1,2017-01-01 00:00:00
8,1,1008,1,2017-01-01 00:00:00
9,1,1009,1,2017-01-01 00:00:00
10,1,1010,1,2017-01-01 00:00:00
11,1,1011,1,2017-01-01 00:00:00
12,1,1012,1,2017-01-01 00:00:00
13,1,1013,1,2017-01-01 00:00:00
14,1,1014,1,2017-01-01 00:00:00
15,1,1015,1,2017-01-01 00:00:00
16,1,1016,1,2021-08-24 12:00:00
17,1,1017,1,2017-01-01 00:00:00
18,1,1018,1,2017-01-01 00:00:00
19,1,1019,1,2017-01-01 00:00:00
20,1,1020,1,2017-01-01 00:00:00
21,1,1021,1,2017-01-01 00:00:00
22,1,1022,1,2017-01-01 00:00:00
23,1,1023,1,2017-01-01 00:00:00
24,1,1024,1,2017-01-01 00:00:00
25,1,1025,1,2017-01-01 00:00:00
26,1,1026,1,2017-01-01 00:00:00
27,1,1027,1,2017-01-01 00:00:00
28,1,1028,1,2021-08-24 12:00:00
29,1,1029,1,2017-01-01 00:00:00
30,1,1030,1,2017-01-01 00:00:00
31,1,1031,1,2017-01-01 00:00:00
32,1,1032,1,2017-01-01 00:00:00
33,1,1033,1,2021-08-24 12:00:00
34,1,1034,1,2021-08-24 12:00:00
35,1,1035,1,2017-01-01 00:00:00
36,1,1036,1,2017-01-01 00:00:00
37,1,1037,1,2017-01-01 00:00:00
38,1,1038,1,2021-08-24 12:00:00
39,1,1039,1,2021-08-24 12:00:00
40,1,1040,1,2017-01-01 00:00:00
41,1,1041,1,2017-01-01 00:00:00
42,1,1042,1,2021-08-24 12:00:00
43,1,1043,1,2021-08-24 12:00:00
44,1,1044,1,2021-08-24 12:00:00
45,1,1045,1,2017-01-01 00:00:00
46,1,1046,1,2017-01-01 00:00:00
47,1,1047,1,2021-08-24 12:00:00
48,1,1048,1,2021-08-24 12:00:00
49,1,1049,1,2021-08-24 12:00:00
50,1,1050,1,2017-01-01 00:00:00
51,1,1051,1,2017-01-01 00:00:00
52,1,1052,1,2017-01-01 00:00:00
53,1,1053,1,2021-08-24 12:00:00
54,1,1054,1,2017-01-01 00:00:00
55,1,1055,1,2017-01-01 00:00:00
56,1,1056,1,2017-01-01 00:00:00
57,1,1057,1,2021-08-24 12:00:00
58,1,1058,1,2017-01-01 00:00:00
59,1,1059,1,2017-01-01 00:00:00
60,1,1060,1,2017-01-01 00:00:00
61,1,1061,1,2017-01-01 00:00:00
62,1,1062,1,2021-08-24 12:00:00
63,1,1063,1,2021-08-24 12:00:00
64,1,1064,1,2021-08-24 12:00:00
65,1,1065,1,2021-08-24 12:00:00
66,1,1066,1,2021-08-24 12:00:00
67,1,1067,1,2021-08-24 12:00:00
68,1,1068,1,2021-08-24 12:00:00
69,1,1069,1,2021-08-24 12:00:00
70,1,1070,1,2022-02-24 12:00:00
71,1,1071,1,2021-08-24 12:00:00
72,1,1072,1,2021-08-24 12:00:00
73,1,2001,1,2022-02-24 12:00:00
74,1,9001,1,2022-02-24 12:00:00
75,1,9002,1,2022-02-24 12:00:00
76,1,9003,1,2022-02-24 12:00:00
77,1,9004,1,2022-02-24 12:00:00
78,1,9005,1,2022-02-24 12:00:00
79,1,2002,1,2022-02-24 12:00:00
80,1,2003,1,2022-02-24 12:00:00
81,1,9006,1,2022-02-24 12:00:00
82,1,1077,1,2022-02-24 12:00:00
83,1,1074,1,2022-02-24 12:00:00
84,1,1001,2,2022-02-24 12:00:00
85,1,1002,2,2022-02-24 12:00:00
86,1,1003,2,2022-02-24 12:00:00
87,1,1068,2,2022-02-24 12:00:00
88,1,1062,2,2022-02-24 12:00:00
89,1,1013,2,2022-02-24 12:00:00
90,1,1067,2,2022-02-24 12:00:00
91,1,1041,2,2022-02-24 12:00:00
92,1,1033,2,2022-02-24 12:00:00
93,1,1024,2,2022-02-24 12:00:00
94,1,1030,2,2022-02-24 12:00:00
95,1,1071,2,2022-02-24 12:00:00
96,1,1069,2,2022-02-24 12:00:00
97,1,1098,1,2023-02-24 12:00:00
98,1,1073,1,2023-02-24 12:00:00
99,1,1078,1,2023-02-24 12:00:00
100,1,1099,1,2023-02-24 12:00:00
101,1,1100,1,2023-02-24 12:00:00
102,1,9008,1,2023-02-24 12:00:00
103,1,1076,1,2023-02-24 12:00:00
104,1,1083,1,2023-02-24 12:00:00
105,1,1084,1,2023-02-24 12:00:00
106,1,1087,1,2023-02-24 12:00:00
107,1,1085,1,2023-02-24 12:00:00
108,1,1093,1,2023-02-24 12:00:00
109,1,1086,1,2023-02-24 12:00:00
110,1,1094,1,2023-02-24 12:00:00
111,1,1016,2,2023-02-24 12:00:00
112,1,1015,2,2023-02-24 12:00:00
113,1,1017,2,2023-02-24 12:00:00
114,1,1025,2,2023-02-24 12:00:00
115,1,1057,2,2023-02-24 12:00:00
116,1,1076,2,2023-02-24 12:00:00
117,1,1077,2,2023-02-24 12:00:00
8001,3,9001,0,2017-01-01 00:00:00
8002,3,9001,0,2017-01-01 00:00:00
8003,3,9001,0,2017-01-01 00:00:00
8004,3,9001,0,2017-01-01 00:00:00
8005,3,9001,0,2017-01-01 00:00:00
8006,3,9001,0,2017-01-01 00:00:00
8007,3,9001,0,2017-01-01 00:00:00
8008,3,9001,0,2017-01-01 00:00:00
8009,3,9001,0,2017-01-01 00:00:00
8010,3,9001,0,2017-01-01 00:00:00
8011,3,9001,0,2017-01-01 00:00:00
8012,3,9001,0,2017-01-01 00:00:00
8013,3,9001,0,2017-01-01 00:00:00
8014,3,9001,0,2017-01-01 00:00:00
8015,3,9001,0,2017-01-01 00:00:00
8016,3,9001,0,2017-01-01 00:00:00
8017,3,9001,0,2017-01-01 00:00:00
8018,3,9001,0,2017-01-01 00:00:00
8019,3,9001,0,2017-01-01 00:00:00
8020,3,9001,0,2017-01-01 00:00:00
8021,3,9001,0,2017-01-01 00:00:00
8022,3,9001,0,2017-01-01 00:00:00
8023,3,9001,0,2017-01-01 00:00:00
8024,3,9001,0,2017-01-01 00:00:00
8025,3,9001,0,2017-01-01 00:00:00
8026,3,9001,0,2017-01-01 00:00:00
8027,3,9001,0,2017-01-01 00:00:00
8028,3,9001,0,2017-01-01 00:00:00
8029,3,9001,0,2017-01-01 00:00:00
8030,3,9001,0,2017-01-01 00:00:00
8031,3,9001,0,2017-01-01 00:00:00
8032,3,9001,0,2017-01-01 00:00:00
8033,3,9001,0,2017-01-01 00:00:00
8034,3,9001,0,2017-01-01 00:00:00
8035,3,9001,0,2017-01-01 00:00:00
8036,3,9001,0,2017-01-01 00:00:00
8037,3,9001,0,2017-01-01 00:00:00
8038,3,9001,0,2017-01-01 00:00:00
8039,3,9001,0,2017-01-01 00:00:00
8040,3,9001,0,2017-01-01 00:00:00
8041,3,9001,0,2017-01-01 00:00:00
8042,3,9001,0,2017-01-01 00:00:00
8043,3,9001,0,2017-01-01 00:00:00
8044,3,9001,0,2017-01-01 00:00:00
8045,3,9001,0,2017-01-01 00:00:00
8046,3,9001,0,2017-01-01 00:00:00
8047,3,9001,0,2017-01-01 00:00:00
8048,3,9001,0,2017-01-01 00:00:00
8049,3,9001,0,2017-01-01 00:00:00
8050,3,9001,0,2017-01-01 00:00:00
8051,3,9001,0,2017-01-01 00:00:00
8052,3,9001,0,2017-01-01 00:00:00
8053,3,9001,0,2017-01-01 00:00:00
8054,3,9001,0,2017-01-01 00:00:00
8055,3,9001,0,2017-01-01 00:00:00
8056,3,9001,0,2017-01-01 00:00:00
8057,3,9001,0,2017-01-01 00:00:00
8058,3,9001,0,2017-01-01 00:00:00
8059,3,9001,0,2017-01-01 00:00:00
8060,3,9001,0,2017-01-01 00:00:00
8061,3,9001,0,2017-01-01 00:00:00
8062,3,9001,0,2017-01-01 00:00:00
8063,3,9001,0,2017-01-01 00:00:00
8064,3,9001,0,2017-01-01 00:00:00
8065,3,9001,0,2017-01-01 00:00:00
8066,3,9001,0,2017-01-01 00:00:00
8067,3,9001,0,2017-01-01 00:00:00
8068,3,9001,0,2017-01-01 00:00:00
8069,3,9001,0,2017-01-01 00:00:00
8070,3,9001,0,2017-01-01 00:00:00
8071,3,9001,0,2017-01-01 00:00:00
8072,3,9001,0,2017-01-01 00:00:00
8073,3,9001,0,2017-01-01 00:00:00
8074,3,9001,0,2017-01-01 00:00:00
8075,3,9001,0,2017-01-01 00:00:00
8076,3,9001,0,2017-01-01 00:00:00
8077,3,9001,0,2017-01-01 00:00:00
8078,3,9001,0,2017-01-01 00:00:00
8079,3,9001,0,2017-01-01 00:00:00
8080,3,9001,0,2017-01-01 00:00:00
8081,3,9001,0,2017-01-01 00:00:00
