id,trained_chara_rank,trade_item_category,trade_item_id,trade_item_num
1,1,30,110,10
2,2,30,110,20
3,3,30,110,30
4,4,30,110,40
5,5,30,110,60
6,6,30,110,80
7,7,30,110,100
8,8,30,110,120
9,9,30,110,140
10,10,30,110,170
11,11,30,110,200
12,12,30,110,230
13,13,30,110,260
14,14,30,110,300
15,15,30,110,340
16,16,30,110,380
17,17,30,110,420
18,18,30,110,460
19,19,30,110,500
20,20,30,110,510
21,21,30,110,520
22,22,30,110,530
23,23,30,110,540
24,24,30,110,550
25,25,30,110,560
26,26,30,110,570
27,27,30,110,580
28,28,30,110,590
29,29,30,110,600
30,30,30,110,610
31,31,30,110,620
32,32,30,110,630
33,33,30,110,640
34,34,30,110,650
35,35,30,110,660
36,36,30,110,670
37,37,30,110,680
38,38,30,110,690
39,39,30,110,700
40,40,30,110,710
41,41,30,110,720
42,42,30,110,730
43,43,30,110,740
44,44,30,110,750
45,45,30,110,760
46,46,30,110,770
47,47,30,110,780
48,48,30,110,790
49,49,30,110,800
50,50,30,110,810
51,51,30,110,820
52,52,30,110,830
53,53,30,110,840
54,54,30,110,850
55,55,30,110,860
56,56,30,110,870
57,57,30,110,880
58,58,30,110,890
59,59,30,110,900
60,60,30,110,910
61,61,30,110,920
62,62,30,110,930
63,63,30,110,940
64,64,30,110,950
65,65,30,110,960
66,66,30,110,970
67,67,30,110,980
68,68,30,110,990
69,69,30,110,1000
70,70,30,110,1010
71,71,30,110,1020
72,72,30,110,1030
73,73,30,110,1040
74,74,30,110,1050
75,75,30,110,1060
76,76,30,110,1070
77,77,30,110,1080
78,78,30,110,1090
79,79,30,110,1100
80,80,30,110,1110
81,81,30,110,1120
82,82,30,110,1130
83,83,30,110,1140
84,84,30,110,1150
85,85,30,110,1160
86,86,30,110,1170
87,87,30,110,1180
88,88,30,110,1190
89,89,30,110,1200
90,90,30,110,1210
91,91,30,110,1220
92,92,30,110,1230
93,93,30,110,1240
94,94,30,110,1250
95,95,30,110,1260
96,96,30,110,1270
97,97,30,110,1280
98,98,30,110,1290
