id,feature_type,good_score,good_score_reward_coin,great_score,great_score_reward_coin,exellent_score,exellent_score_reward_coin,score_group_id,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5
1,1,7000,100,10000,150,15000,200,1,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
2,2,7000,100,10000,150,15000,200,2,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
3,3,7000,100,10000,150,15000,200,3,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
4,4,7000,100,10000,150,15000,200,4,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
5,5,7000,100,10000,150,15000,200,5,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
6,6,10000,200,15000,300,20000,400,6,165,156,1000,90,43,150,91,59,10000,30,110,5000,103,98,1000
7,7,10000,200,15000,300,20000,400,7,165,156,1000,90,43,150,91,59,10000,30,110,5000,103,98,1000
8,7,15000,200,20000,300,28000,400,8,165,156,1000,90,43,150,91,59,10000,30,110,5000,103,98,1000
9,1,10000,200,15000,300,20000,400,9,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
10,2,10000,200,15000,300,20000,400,10,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
11,3,10000,200,15000,300,20000,400,11,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
12,4,10000,200,15000,300,20000,400,12,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
13,5,10000,200,15000,300,20000,400,13,165,156,500,90,43,100,91,59,5000,30,110,2500,103,98,500
14,6,15000,400,20000,600,25000,800,14,165,156,1000,90,43,150,91,59,10000,30,110,5000,103,98,1000
15,7,15000,400,20000,600,25000,800,15,165,156,1000,90,43,150,91,59,10000,30,110,5000,103,98,1000
