id,score_group_id,score_type,data,disp_order,bonus_score,reward_coin
1,1,1,800,1,1000,20
2,1,3,800,2,1000,20
3,1,6,200492,3,400,20
4,1,6,200652,4,400,20
5,1,6,200992,5,400,20
6,1,6,200462,6,400,20
7,1,6,200491,7,1200,50
8,1,6,200651,8,1200,50
9,1,6,200991,9,1200,50
10,1,6,200461,10,1200,50
11,1,2000,10,11,1000,50
12,1,101,1,12,40,0
13,1,101,2,13,50,0
14,1,101,3,14,60,0
15,1,101,4,15,70,0
16,1,101,5,16,80,0
17,1,101,6,17,90,0
18,1,101,7,18,100,0
19,1,101,8,19,100,0
20,2,1,800,1,1000,20
21,2,4,800,2,1000,20
22,2,6,200682,3,400,20
23,2,6,200702,4,400,20
24,2,6,201072,5,400,20
25,2,6,200462,6,400,20
26,2,6,200681,7,1200,50
27,2,6,200701,8,1200,50
28,2,6,201071,9,1200,50
29,2,6,200461,10,1200,50
30,2,2000,10,11,1000,50
31,2,102,1,12,40,0
32,2,102,2,13,50,0
33,2,102,3,14,60,0
34,2,102,4,15,70,0
35,2,102,5,16,80,0
36,2,102,6,17,90,0
37,2,102,7,18,100,0
38,2,102,8,19,100,0
39,3,1,800,1,1000,20
40,3,2,800,2,1000,20
41,3,6,201122,3,400,20
42,3,6,200732,4,400,20
43,3,6,201152,5,400,20
44,3,6,200462,6,400,20
45,3,6,201121,7,1200,50
46,3,6,200731,8,1200,50
47,3,6,201151,9,1200,50
48,3,6,200461,10,1200,50
49,3,2000,10,11,1000,50
50,3,103,1,12,40,0
51,3,103,2,13,50,0
52,3,103,3,14,60,0
53,3,103,4,15,70,0
54,3,103,5,16,80,0
55,3,103,6,17,90,0
56,3,103,7,18,100,0
57,3,103,8,19,100,0
58,4,2,800,1,1000,20
59,4,5,800,2,1000,20
60,4,6,200742,3,400,20
61,4,6,201192,4,400,20
62,4,6,200762,5,400,20
63,4,6,200462,6,400,20
64,4,6,200741,7,1200,50
65,4,6,201191,8,1200,50
66,4,6,200761,9,1200,50
67,4,6,200461,10,1200,50
68,4,2000,10,11,1000,50
69,4,104,1,12,40,0
70,4,104,2,13,50,0
71,4,104,3,14,60,0
72,4,104,4,15,70,0
73,4,104,5,16,80,0
74,4,104,6,17,90,0
75,4,104,7,18,100,0
76,4,104,8,19,100,0
77,5,3,800,1,1000,20
78,5,4,800,2,1000,20
79,5,6,200472,3,400,20
80,5,6,200452,4,400,20
81,5,6,201682,5,400,20
82,5,6,200462,6,400,20
83,5,6,200471,7,1200,50
84,5,6,200451,8,1200,50
85,5,6,201681,9,1200,50
86,5,6,200461,10,1200,50
87,5,2000,10,11,1000,50
88,5,106,1,12,40,0
89,5,106,2,13,50,0
90,5,106,3,14,60,0
91,5,106,4,15,70,0
92,5,106,5,16,80,0
93,5,106,6,17,90,0
94,5,106,7,18,100,0
95,5,106,8,19,100,0
96,6,1,1000,1,1500,30
97,6,2,1000,2,1500,30
98,6,6,201122,3,400,20
99,6,6,200732,4,400,20
100,6,6,200372,5,400,20
101,6,6,200352,6,400,20
102,6,6,200382,7,400,20
103,6,6,200462,8,400,20
104,6,6,201121,9,1200,50
105,6,6,200731,10,1200,50
106,6,6,200371,11,1200,50
107,6,6,200351,12,1200,50
108,6,6,200381,13,1200,50
109,6,6,200461,14,1200,50
110,6,7,100,15,100,10
111,6,7,200,16,70,0
112,6,7,300,17,50,0
113,6,7,400,18,20,0
114,6,2000,10,19,1000,50
115,7,1,1000,1,1500,30
116,7,2,1000,2,1500,30
117,7,3,1000,3,1500,30
118,7,4,1000,4,1500,30
119,7,5,1000,5,1500,30
120,7,8,1,6,400,20
121,7,8,2,7,1200,50
122,7,7,100,8,100,10
123,7,7,200,9,70,0
124,7,7,300,10,50,0
125,7,7,400,11,20,0
126,7,2000,10,12,1000,50
127,8,1,1000,1,1500,30
128,8,2,1000,2,1500,30
129,8,3,1000,3,1500,30
130,8,4,1000,4,1500,30
131,8,5,1000,5,1500,30
132,8,8,1,6,400,20
133,8,8,2,7,1200,50
134,8,7,100,8,100,10
135,8,7,200,9,70,0
136,8,7,300,10,50,0
137,8,7,400,11,20,0
138,8,4000,1,12,500,30
139,8,4000,2,13,1000,50
141,8,4001,1,15,1500,100
142,9,1,1000,1,1500,60
143,9,2,1000,2,1500,60
144,9,3,1000,3,1500,60
145,9,4,1000,4,1500,60
146,9,5,1000,5,1500,60
147,9,1,1201,1,1000,40
148,9,2,1201,2,1000,40
149,9,3,1201,3,1000,40
150,9,4,1201,4,1000,40
151,9,5,1201,5,1000,40
152,9,6,200342,1,400,40
153,9,6,200432,2,400,40
154,9,6,200652,3,400,40
155,9,6,210072,4,400,40
156,9,6,200341,5,1200,100
157,9,6,200431,6,1200,100
158,9,6,200651,7,1200,100
159,9,6,210071,8,1200,100
160,9,3000,4,11,2000,200
161,9,3001,10,12,2000,200
162,9,3001,15,13,2000,200
163,9,101,1,14,40,0
164,9,101,2,15,50,0
165,9,101,3,16,60,0
166,9,101,4,17,70,0
167,9,101,5,18,80,0
168,9,101,6,19,90,0
169,9,101,7,20,100,0
170,9,101,8,21,100,0
171,10,1,1000,1,1500,60
172,10,2,1000,2,1500,60
173,10,3,1000,3,1500,60
174,10,4,1000,4,1500,60
175,10,5,1000,5,1500,60
176,10,1,1201,1,1000,40
177,10,2,1201,2,1000,40
178,10,3,1201,3,1000,40
179,10,4,1201,4,1000,40
180,10,5,1201,5,1000,40
181,10,6,200492,1,400,40
182,10,6,200702,2,400,40
183,10,6,201062,3,400,40
184,10,6,210072,4,400,40
185,10,6,200491,5,1200,100
186,10,6,200701,6,1200,100
187,10,6,201061,7,1200,100
188,10,6,210071,8,1200,100
189,10,3000,4,11,2000,200
190,10,3001,10,12,2000,200
191,10,3001,15,13,2000,200
192,10,102,1,14,40,0
193,10,102,2,15,50,0
