command_id,sub_id,chara_num,target_chara_index,target_value,cutt_index,success_flg
101045,1,2,1,1,1,0
101045,1,2,1,2,2,0
101045,1,2,1,3,3,0
101045,1,2,1,4,4,0
101045,1,2,1,5,5,0
101045,1,2,1,6,6,0
103010,1,1,0,1,1,2
103010,1,1,0,2,2,2
103010,1,1,0,3,3,2
103010,1,1,0,4,4,2
103010,1,1,0,5,5,2
103010,1,1,0,6,6,2
103020,1,1,0,1,1,2
103020,1,1,0,2,2,2
103020,1,1,0,3,3,2
103020,1,1,0,4,4,2
103020,1,1,0,5,5,2
103020,1,1,0,6,6,2
103020,1,1,0,7,7,2
103030,1,1,0,1,1,2
103030,1,1,0,2,2,2
103030,1,1,0,3,3,2
103030,1,1,0,4,4,2
103030,1,1,0,5,5,2
103030,2,1,0,1,1,2
103030,2,1,0,2,2,2
103030,2,1,0,3,3,2
103030,2,1,0,4,4,2
103030,2,1,0,5,5,2
103030,3,1,0,1,1,2
103030,3,1,0,2,2,2
103030,3,1,0,3,3,2
103030,3,1,0,4,4,2
103030,3,1,0,5,5,2
103040,1,1,0,1,1,2
103040,1,1,0,2,2,2
103040,1,1,0,3,3,2
103040,1,1,0,4,4,2
103040,1,1,0,5,5,2
103040,1,1,0,6,6,2
103050,1,1,0,1,1,2
103050,1,1,0,2,2,2
103050,1,1,0,3,3,2
103050,1,1,0,4,4,2
103050,1,1,0,5,5,2
103050,1,1,0,6,6,2
101031,1,1,0,1,1,0
101031,1,1,0,2,2,0
101031,1,1,0,3,3,0
101031,1,2,0,1,1,0
101031,1,2,0,2,2,0
101031,1,2,0,3,3,0
101032,1,1,0,1,1,0
101032,1,1,0,2,2,0
101032,1,1,0,3,3,0
101032,1,2,0,1,1,0
101032,1,2,0,2,2,0
101032,1,2,0,3,3,0
101033,1,1,0,1,1,0
101033,1,1,0,2,2,0
101033,1,1,0,3,3,0
101033,1,2,0,1,1,0
101033,1,2,0,2,2,0
101033,1,2,0,3,3,0
101034,1,1,0,1,1,0
101034,1,1,0,2,2,0
101034,1,1,0,3,3,0
101034,1,2,0,1,1,0
101034,1,2,0,2,2,0
101034,1,2,0,3,3,0
102030,1,1,0,1,1,0
102030,1,1,0,2,2,0
102030,1,1,0,3,3,0
102030,1,2,0,1,1,0
102030,1,2,0,2,2,0
102030,1,2,0,3,3,0
102040,1,2,1,1,1,0
102040,1,2,1,2,2,0
102040,1,2,1,3,3,0
102040,1,2,1,4,4,0
102040,1,2,1,5,5,0
102040,1,2,1,6,6,0
