transfer_event_id,logo_id,bg_id,bg_sub_id,tutorial_guide_id,bgm_cue_name,bgm_cuesheet_name,top_trigger,finish_trigger,clear_trigger,pre_start_date,start_date,end_date
1,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1626033600,1626058800,1626749999
2,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1628625600,1628650800,1628996399
3,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1631217600,1631242800,1631588399
4,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1633896000,1633921200,1634266799
5,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1636315200,1636340400,1636685999
6,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1640548800,1640574000,1640919599
7,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1642449600,1642474800,1642820399
8,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1645041600,1645066800,1645412399
9,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1647374400,1647399600,1647745199
10,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1649620800,1649646000,1649991599
11,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1652904000,1652929200,1653274799
12,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1655668800,1655694000,1656039599
13,2,205,110,80002,snd_bgm_SH014_sys,snd_bgm_SH014_cb,5403,5405,5404,1658260800,1658286000,1660100399
14,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1660852800,1660878000,1661396399
15,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1663617600,1663642800,1663988399
16,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1666123200,1666148400,1666493999
17,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1668715200,1668740400,1669085999
18,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1671480000,1671505200,1671850799
19,1,1,1110,0,snd_bgm_AM028_sys,snd_bgm_AM028,0,0,0,1674158400,1674183600,1674529199
20,2,205,110,80003,snd_bgm_SH014_sys,snd_bgm_SH014_cb,5403,5405,5404,1677182400,1677207600,1678503599
