transfer_detail_id,transfer_event_id,trainer_type,difficulty,limited_type,start_date,end_date,cool_time,condition1_type,condition1_value1,condition1_value2,condition2_type,condition2_value1,condition2_value2,condition3_type,condition3_value1,condition3_value2,condition4_type,condition4_value1,condition4_value2,condition5_type,condition5_value1,condition5_value2
1001,1,133,3,1,1626058800,1626231599,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1002,1,123,3,1,1626231600,1626404399,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1003,1,213,3,1,1626404400,1626577199,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1004,1,113,3,1,1626577200,1626749999,0,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
1005,1,102,2,3,1626058800,1626231599,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,1,202,2,3,1626231600,1626404399,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,1,102,2,3,1626404400,1626577199,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,1,202,2,3,1626577200,1626749999,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,1,201,1,5,1626058800,1626231599,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,1,101,1,5,1626231600,1626404399,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,1,201,1,5,1626404400,1626577199,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,1,101,1,5,1626577200,1626749999,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,113,3,1,1628650800,1628823599,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
2002,2,123,3,1,1628823600,1628996399,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
2003,2,102,2,3,1628650800,1628823599,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2,202,2,3,1628823600,1628996399,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,201,1,5,1628650800,1628823599,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,101,1,5,1628823600,1628996399,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
